country,index_name,data_source_id,currency,status,vendor_used,row_count,data_start,data_end,gaps_over_4d,usable_for_backtest,detail
United States,S&P 500,^GSPC,USD,LOADED,local_csv,3771,2011-01-03,2025-12-30,0,True,Successfully loaded via local_csv (3771 bars)
United States,Nasdaq Composite,^IXIC,USD,LOADED,yfinance,3771,2011-01-03,2025-12-30,0,True,Successfully loaded via yfinance (3771 bars)
United States,Dow Jones Industrial Average,^DJI,USD,LOADED,yfinance,3771,2011-01-03,2025-12-30,0,True,Successfully loaded via yfinance (3771 bars)
China,Shanghai Composite,000001.SS,CNY,LOADED,yfinance,3640,2011-01-04,2025-12-30,40,True,Successfully loaded via yfinance (3640 bars)
China,Shenzhen Component,399001.SZ,CNY,LOADED,yfinance,3639,2011-01-04,2025-12-30,40,True,Successfully loaded via yfinance (3639 bars)
Germany,DAX 40,^GDAXI,EUR,LOADED,local_csv,3803,2011-01-03,2025-12-30,4,True,Successfully loaded via local_csv (3803 bars)
Germany,MDAX,^MDAXI,EUR,LOADED,yfinance,3803,2011-01-03,2025-12-30,4,True,Successfully loaded via yfinance (3803 bars)
Germany,TecDAX,^TECDAX,EUR,LOADED,yfinance,3796,2011-01-03,2025-12-30,4,True,Successfully loaded via yfinance (3796 bars)
Japan,Nikkei 225,^N225,JPY,LOADED,local_csv,3670,2011-01-04,2025-12-30,15,True,Successfully loaded via local_csv (3670 bars)
India,Nifty 50,^NSEI,INR,LOADED,local_csv,3678,2011-01-03,2025-12-30,1,True,Successfully loaded via local_csv (3678 bars)
India,BSE Sensex,^BSESN,INR,LOADED,yfinance,3683,2011-01-03,2025-12-30,2,True,Successfully loaded via yfinance (3683 bars)
India,Nifty Bank,^NSEBANK,INR,LOADED,yfinance,3693,2011-01-03,2025-12-30,1,True,Successfully loaded via yfinance (3693 bars)
United Kingdom,FTSE 100,^FTSE,GBP,LOADED,local_csv,3785,2011-01-04,2025-12-30,0,True,Successfully loaded via local_csv (3785 bars)
United Kingdom,FTSE 250,^FTMC,GBP,LOADED,yfinance,3786,2011-01-04,2025-12-30,0,True,Successfully loaded via yfinance (3786 bars)
France,CAC 40,^FCHI,EUR,LOADED,yfinance,3834,2011-01-03,2025-12-30,1,True,Successfully loaded via yfinance (3834 bars)
Italy,FTSE MIB,FTSEMIB.MI,EUR,LOADED,yfinance,3806,2011-01-03,2025-12-30,4,True,Successfully loaded via yfinance (3806 bars)
Indonesia,Jakarta Composite Index,^JKSE,IDR,LOADED,yfinance,3640,2011-01-03,2025-12-30,18,True,Successfully loaded via yfinance (3640 bars)
Canada,S&P/TSX Composite,^GSPTSE,CAD,LOADED,yfinance,3762,2011-01-04,2025-12-30,0,True,Successfully loaded via yfinance (3762 bars)
Brazil,Ibovespa,^BVSP,BRL,LOADED,yfinance,3718,2011-01-03,2025-12-30,1,True,Successfully loaded via yfinance (3718 bars)
South Korea,KOSPI,^KS11,KRW,LOADED,yfinance,3683,2011-01-03,2025-12-30,16,True,Successfully loaded via yfinance (3683 bars)
South Korea,KOSDAQ,^KQ11,KRW,LOADED,yfinance,3684,2011-01-03,2025-12-30,16,True,Successfully loaded via yfinance (3684 bars)
Australia,ASX 200,^AXJO,AUD,LOADED,yfinance,3784,2011-01-04,2025-12-30,1,True,Successfully loaded via yfinance (3784 bars)
Australia,All Ordinaries,^AORD,AUD,LOADED,yfinance,3789,2011-01-04,2025-12-30,1,True,Successfully loaded via yfinance (3789 bars)
Mexico,IPC Mexico,^MXX,MXN,LOADED,yfinance,3762,2011-01-03,2025-12-30,0,True,Successfully loaded via yfinance (3762 bars)
Spain,IBEX 35,^IBEX,EUR,LOADED,yfinance,3834,2011-01-03,2025-12-30,0,True,Successfully loaded via yfinance (3834 bars)
