strategy,track,best_by_cagr_index,cagr,best_by_calmar_index,calmar
50/200 SMA Crossover,Gross,United States - Nasdaq Composite,0.118225,United States - Nasdaq Composite,0.392569
50/200 SMA Crossover,Net-Tax,United States - Nasdaq Composite,0.10706,United States - Nasdaq Composite,0.329089
50/200 SMA Crossover,Net-Discount,United States - Nasdaq Composite,0.107036,United States - Nasdaq Composite,0.328879
50/200 SMA Crossover,Net-Full-Service,United States - Nasdaq Composite,0.106402,United States - Nasdaq Composite,0.323946
50/200 SMA Crossover,Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
14-Day RSI Oscillator,Gross,United Kingdom - FTSE 100,0.086519,United States - S&P 500,0.27445
14-Day RSI Oscillator,Net-Tax,United Kingdom - FTSE 100,0.084278,United Kingdom - FTSE 100,0.249945
14-Day RSI Oscillator,Net-Discount,United States - S&P 500,0.060578,Germany - TecDAX,0.187879
14-Day RSI Oscillator,Net-Full-Service,Germany - TecDAX,0.0577,Germany - TecDAX,0.183251
14-Day RSI Oscillator,Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
12-Month Momentum (Monthly Rebalance),Gross,United States - Nasdaq Composite,0.096517,United States - Nasdaq Composite,0.260524
12-Month Momentum (Monthly Rebalance),Net-Tax,United States - Nasdaq Composite,0.086602,United States - Nasdaq Composite,0.210745
12-Month Momentum (Monthly Rebalance),Net-Discount,United States - Nasdaq Composite,0.086571,United States - Nasdaq Composite,0.210484
12-Month Momentum (Monthly Rebalance),Net-Full-Service,United States - Nasdaq Composite,0.085644,United States - Nasdaq Composite,0.203322
12-Month Momentum (Monthly Rebalance),Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
Seasonal Halloween Rule (Nov-Apr),Gross,Germany - TecDAX,0.089174,Germany - TecDAX,0.26873
Seasonal Halloween Rule (Nov-Apr),Net-Tax,South Korea - KOSDAQ,0.075957,South Korea - KOSDAQ,0.199089
Seasonal Halloween Rule (Nov-Apr),Net-Discount,South Korea - KOSDAQ,0.072286,South Korea - KOSDAQ,0.182318
Seasonal Halloween Rule (Nov-Apr),Net-Full-Service,Germany - TecDAX,0.068191,Germany - TecDAX,0.173373
Seasonal Halloween Rule (Nov-Apr),Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
Bollinger Bands Breakout,Gross,China - Shenzhen Component,0.067812,China - Shenzhen Component,0.324465
Bollinger Bands Breakout,Net-Tax,China - Shenzhen Component,0.067812,China - Shenzhen Component,0.324465
Bollinger Bands Breakout,Net-Discount,China - Shenzhen Component,0.062391,China - Shenzhen Component,0.262102
Bollinger Bands Breakout,Net-Full-Service,China - Shenzhen Component,0.061697,China - Shenzhen Component,0.257859
Bollinger Bands Breakout,Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
52-Week High Drawdown Dip Buyer,Gross,India - Nifty Bank,0.096367,Germany - TecDAX,0.330841
52-Week High Drawdown Dip Buyer,Net-Tax,India - Nifty Bank,0.094354,Japan - Nikkei 225,0.266873
52-Week High Drawdown Dip Buyer,Net-Discount,India - Nifty Bank,0.09314,Japan - Nikkei 225,0.262996
52-Week High Drawdown Dip Buyer,Net-Full-Service,India - Nifty Bank,0.08856,Germany - TecDAX,0.219669
52-Week High Drawdown Dip Buyer,Buy-and-Hold,United States - Nasdaq Composite,0.144335,United States - Nasdaq Composite,0.396568
