strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,bootstrap_ci_low,bootstrap_ci_high
14-Day RSI Oscillator,United States,S&P 500,Gross,0.079144,-0.288374,0.27445,0.627321,38,0.037311,0.116224
14-Day RSI Oscillator,United States,S&P 500,Net-Tax,0.060774,-0.352336,0.172489,0.441324,38,0.017969,0.086957
14-Day RSI Oscillator,United States,S&P 500,Net-Discount,0.060578,-0.353266,0.17148,0.439468,38,0.01952,0.087085
14-Day RSI Oscillator,United States,S&P 500,Net-Full-Service,0.054909,-0.376453,0.14586,0.391813,38,0.009113,0.075998
14-Day RSI Oscillator,United States,S&P 500,Buy-and-Hold,0.109658,-0.339263,0.323223,0.681481,1,0.109658,0.109658
14-Day RSI Oscillator,United States,Nasdaq Composite,Gross,0.068147,-0.251108,0.271385,0.501143,36,0.026135,0.108834
14-Day RSI Oscillator,United States,Nasdaq Composite,Net-Tax,0.049378,-0.31251,0.158005,0.350112,36,0.010558,0.07942
14-Day RSI Oscillator,United States,Nasdaq Composite,Net-Discount,0.049179,-0.313378,0.156934,0.348691,36,0.006869,0.076306
14-Day RSI Oscillator,United States,Nasdaq Composite,Net-Full-Service,0.042896,-0.341565,0.125585,0.308594,36,0.00149,0.070734
14-Day RSI Oscillator,United States,Nasdaq Composite,Buy-and-Hold,0.144335,-0.363959,0.396568,0.752144,1,0.144335,0.144335
14-Day RSI Oscillator,United States,Dow Jones Industrial Average,Gross,0.067058,-0.316202,0.212074,0.558506,42,0.028587,0.099384
14-Day RSI Oscillator,United States,Dow Jones Industrial Average,Net-Tax,0.051419,-0.368778,0.13943,0.40521,42,0.017307,0.075171
14-Day RSI Oscillator,United States,Dow Jones Industrial Average,Net-Discount,0.051208,-0.370142,0.138348,0.403132,42,0.014041,0.073096
14-Day RSI Oscillator,United States,Dow Jones Industrial Average,Net-Full-Service,0.044022,-0.408196,0.107845,0.342445,42,0.006495,0.065774
14-Day RSI Oscillator,United States,Dow Jones Industrial Average,Buy-and-Hold,0.090645,-0.370878,0.244406,0.599296,1,0.090645,0.090645
14-Day RSI Oscillator,China,Shanghai Composite,Gross,0.010913,-0.387113,0.02819,0.150973,45,-0.045143,0.062432
14-Day RSI Oscillator,China,Shanghai Composite,Net-Tax,0.010913,-0.387113,0.02819,0.150973,45,-0.046692,0.059558
14-Day RSI Oscillator,China,Shanghai Composite,Net-Discount,0.004997,-0.416037,0.012011,0.108925,45,-0.048544,0.055115
14-Day RSI Oscillator,China,Shanghai Composite,Net-Full-Service,0.004352,-0.417239,0.010431,0.104456,45,-0.049851,0.055112
14-Day RSI Oscillator,China,Shanghai Composite,Buy-and-Hold,0.022187,-0.523355,0.042394,0.214718,1,0.022187,0.022187
14-Day RSI Oscillator,China,Shenzhen Component,Gross,-0.013678,-0.488924,-0.027975,-5.9e-05,40,-0.084478,0.053531
14-Day RSI Oscillator,China,Shenzhen Component,Net-Tax,-0.013678,-0.488924,-0.027975,-5.9e-05,40,-0.08804,0.051659
14-Day RSI Oscillator,China,Shenzhen Component,Net-Discount,-0.020564,-0.512688,-0.040109,-0.032086,40,-0.090484,0.045433
14-Day RSI Oscillator,China,Shenzhen Component,Net-Full-Service,-0.021244,-0.513644,-0.04136,-0.035607,40,-0.089827,0.043766
14-Day RSI Oscillator,China,Shenzhen Component,Buy-and-Hold,0.004478,-0.60881,0.007355,0.142408,1,0.004478,0.004478
14-Day RSI Oscillator,Germany,DAX 40,Gross,0.052342,-0.344252,0.152045,0.434669,41,-0.002374,0.103914
14-Day RSI Oscillator,Germany,DAX 40,Net-Tax,0.036206,-0.398823,0.090782,0.302229,41,-0.020393,0.077838
14-Day RSI Oscillator,Germany,DAX 40,Net-Discount,0.036089,-0.399588,0.090316,0.301276,41,-0.017523,0.073458
14-Day RSI Oscillator,Germany,DAX 40,Net-Full-Service,0.034187,-0.40824,0.083741,0.287279,41,-0.021392,0.073157
14-Day RSI Oscillator,Germany,DAX 40,Buy-and-Hold,0.072255,-0.387805,0.186318,0.447245,1,0.072255,0.072255
14-Day RSI Oscillator,Germany,MDAX,Gross,0.060641,-0.389654,0.155628,0.498646,44,0.003707,0.117726
14-Day RSI Oscillator,Germany,MDAX,Net-Tax,0.037814,-0.477952,0.079117,0.305337,44,-0.022613,0.082391
14-Day RSI Oscillator,Germany,MDAX,Net-Discount,0.03769,-0.478611,0.078748,0.304409,44,-0.01847,0.082423
14-Day RSI Oscillator,Germany,MDAX,Net-Full-Service,0.035692,-0.485921,0.073452,0.290692,44,-0.018011,0.078078
14-Day RSI Oscillator,Germany,MDAX,Buy-and-Hold,0.062381,-0.399299,0.156225,0.409792,1,0.062381,0.062381
14-Day RSI Oscillator,Germany,TecDAX,Gross,0.07763,-0.314205,0.247068,0.612503,39,0.016072,0.133118
14-Day RSI Oscillator,Germany,TecDAX,Net-Tax,0.059109,-0.314205,0.188123,0.435146,39,-0.00407,0.096483
14-Day RSI Oscillator,Germany,TecDAX,Net-Discount,0.059036,-0.314223,0.187879,0.434432,39,0.00088,0.093108
14-Day RSI Oscillator,Germany,TecDAX,Net-Full-Service,0.0577,-0.31487,0.183251,0.423341,39,-0.005518,0.094938
14-Day RSI Oscillator,Germany,TecDAX,Buy-and-Hold,0.084311,-0.346007,0.243668,0.497103,1,0.084311,0.084311
14-Day RSI Oscillator,Japan,Nikkei 225,Gross,0.056887,-0.310103,0.183446,0.445186,38,0.013077,0.100503
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Tax,0.044426,-0.378261,0.117449,0.345004,38,-0.00053,0.081142
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Discount,0.041768,-0.402467,0.103781,0.324844,38,-0.004654,0.077393
14-Day RSI Oscillator,Japan,Nikkei 225,Net-Full-Service,0.0,-1.0,0.0,0.0,38,-0.104354,-0.031504
14-Day RSI Oscillator,Japan,Nikkei 225,Buy-and-Hold,0.098063,-0.318137,0.308241,0.553056,1,0.098063,0.098063
14-Day RSI Oscillator,India,Nifty 50,Gross,0.028001,-0.379155,0.07385,0.29198,37,-0.018606,0.067813
14-Day RSI Oscillator,India,Nifty 50,Net-Tax,0.022845,-0.416482,0.054851,0.242407,37,-0.023016,0.058173
14-Day RSI Oscillator,India,Nifty 50,Net-Discount,0.016873,-0.450915,0.037419,0.193861,37,-0.030991,0.051665
14-Day RSI Oscillator,India,Nifty 50,Net-Full-Service,-0.007912,-0.586949,-0.01348,0.041491,37,-0.046539,0.032699
14-Day RSI Oscillator,India,Nifty 50,Buy-and-Hold,0.096294,-0.384636,0.250352,0.652216,1,0.096294,0.096294
14-Day RSI Oscillator,India,BSE Sensex,Gross,0.040062,-0.374939,0.106848,0.388612,36,-0.00487,0.080552
