strategy,country,index,track,is_cagr,oos_cagr,degradation_ratio,mc_p95_maxdd,bootstrap_ci_low,bootstrap_ci_high,n_trades_is,n_trades_oos,guard_triggered
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Net-Discount,0.014,-0.035,-2.4963,-0.334,-0.0402,0.0419,4,6,False
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Net-Discount,0.0099,-0.0132,-1.3435,-0.2693,-0.0315,0.0473,5,6,False
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Net-Discount,0.0534,-0.0389,-0.7272,-0.2957,-0.0324,0.0636,6,7,False
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Net-Discount,0.0202,0.0151,0.7494,-0.3047,-0.0388,0.0974,3,7,False
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Net-Discount,0.0137,0.0275,2.0071,-0.1755,-0.0147,0.061,4,5,False
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Net-Discount,-0.0222,0.0805,-3.6277,-0.1715,-0.0186,0.0884,8,2,False
12-Month Momentum (Monthly Rebalance),France,CAC 40,Net-Discount,0.0091,-0.03,-3.3011,-0.3186,-0.0466,0.0572,4,6,False
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Net-Discount,0.028022,0.010471,0.373678,-0.32962,-0.039175,0.13194,5,6,False
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Net-Discount,0.062565,-0.042522,-0.679641,-0.383788,-0.044948,0.142281,5,8,False
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Net-Discount,0.117013,-0.030855,-0.263691,-0.233095,-0.020098,0.189445,3,7,False
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Net-Discount,0.0798,0.0269,0.3367,-0.2613,-0.0141,0.1311,3,6,False
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Net-Discount,0.0749,0.0054,0.0717,-0.3061,-0.0362,0.1097,4,8,False
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Net-Discount,0.0809,-0.0046,-0.0566,-0.382,-0.0567,0.1461,4,4,False
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Net-Discount,0.0071,0.0234,3.2809,-0.156,-0.0126,0.0568,8,5,False
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Net-Discount,0.0242,0.0273,1.1283,-0.2229,-0.0328,0.1218,3,3,False
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Net-Discount,0.049365,0.059203,1.19929,-0.359994,-0.025041,0.172804,5,5,False
12-Month Momentum (Monthly Rebalance),Mexico,IPC Mexico,Net-Discount,0.0142,-0.0267,-1.8811,-0.2168,-0.023,0.0315,6,9,False
