strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,qualified
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Buy-and-Hold,0.036563,-0.365332,0.100083,0.315013,1,True
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Gross,-0.004513,-0.414771,-0.010881,0.01747,10,True
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Net-Discount,-0.009166,-0.432672,-0.021184,-0.018107,10,True
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Net-Full-Service,-0.015258,-0.48733,-0.031309,-0.061805,10,True
12-Month Momentum (Monthly Rebalance),Australia,ASX 200,Net-Tax,-0.009051,-0.431592,-0.020972,-0.017266,10,True
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Buy-and-Hold,0.03732,-0.370947,0.100606,0.322703,1,True
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Gross,0.00371,-0.371249,0.009993,0.089304,11,True
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Net-Discount,-0.000991,-0.394035,-0.002514,0.049814,11,True
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Net-Full-Service,-0.007117,-0.42849,-0.01661,0.002957,11,True
12-Month Momentum (Monthly Rebalance),Australia,All Ordinaries,Net-Tax,-0.000863,-0.393143,-0.002196,0.050832,11,True
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Buy-and-Hold,0.051922,-0.476713,0.108916,0.337729,1,True
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Gross,0.012745,-0.582473,0.021881,0.161759,13,True
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Net-Discount,0.011642,-0.588591,0.01978,0.155331,13,True
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Net-Full-Service,0.003529,-0.632321,0.005581,0.111368,13,True
12-Month Momentum (Monthly Rebalance),Brazil,Ibovespa,Net-Tax,0.01215,-0.585792,0.020742,0.158264,13,True
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Buy-and-Hold,0.052466,-0.374265,0.140183,0.422731,1,True
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Gross,0.024711,-0.386923,0.063865,0.272938,10,True
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Net-Discount,0.017828,-0.404694,0.044053,0.208887,10,True
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Net-Full-Service,0.013115,-0.438696,0.029896,0.16742,10,True
12-Month Momentum (Monthly Rebalance),Canada,S&P/TSX Composite,Net-Tax,0.01788,-0.404345,0.044219,0.209364,10,True
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Buy-and-Hold,0.022187,-0.523355,0.042394,0.214718,1,True
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Gross,0.021261,-0.518304,0.04102,0.221868,9,True
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Net-Discount,0.02009,-0.522346,0.038462,0.213431,9,True
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Net-Full-Service,0.019945,-0.522508,0.038171,0.212416,9,True
12-Month Momentum (Monthly Rebalance),China,Shanghai Composite,Net-Tax,0.021261,-0.518304,0.04102,0.221868,9,True
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Buy-and-Hold,0.004478,-0.60881,0.007355,0.142408,1,True
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Gross,0.025626,-0.576752,0.044431,0.238402,10,True
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Net-Discount,0.024474,-0.585959,0.041768,0.231157,10,True
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Net-Full-Service,0.024362,-0.586328,0.04155,0.230486,10,True
12-Month Momentum (Monthly Rebalance),China,Shenzhen Component,Net-Tax,0.025626,-0.576752,0.044431,0.238402,10,True
12-Month Momentum (Monthly Rebalance),France,CAC 40,Buy-and-Hold,0.038251,-0.385589,0.099202,0.287655,1,True
12-Month Momentum (Monthly Rebalance),France,CAC 40,Gross,0.005191,-0.430316,0.012062,0.107066,10,True
12-Month Momentum (Monthly Rebalance),France,CAC 40,Net-Discount,-0.009356,-0.522019,-0.017922,0.020731,10,True
12-Month Momentum (Monthly Rebalance),France,CAC 40,Net-Full-Service,-0.018152,-0.567067,-0.03201,-0.022646,10,True
12-Month Momentum (Monthly Rebalance),France,CAC 40,Net-Tax,-0.005019,-0.499646,-0.010045,0.0449,10,True
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Buy-and-Hold,0.072255,-0.387805,0.186318,0.447245,1,True
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Gross,0.033445,-0.504184,0.066336,0.296987,11,True
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Net-Discount,0.019772,-0.571887,0.034573,0.202018,11,True
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Net-Full-Service,0.019136,-0.575675,0.033242,0.19797,11,True
12-Month Momentum (Monthly Rebalance),Germany,DAX 40,Net-Tax,0.019808,-0.571562,0.034655,0.202252,11,True
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Buy-and-Hold,0.062381,-0.399299,0.156225,0.409792,1,True
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Gross,0.029125,-0.41181,0.070725,0.272022,13,True
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Net-Discount,0.012125,-0.495257,0.024481,0.155679,13,True
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Net-Full-Service,0.011284,-0.501528,0.0225,0.150732,13,True
12-Month Momentum (Monthly Rebalance),Germany,MDAX,Net-Tax,0.012167,-0.495006,0.024579,0.155927,13,True
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Buy-and-Hold,0.084311,-0.346007,0.243668,0.497103,1,True
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Gross,0.064061,-0.388432,0.164922,0.463007,10,True
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Net-Discount,0.045767,-0.487313,0.093916,0.330521,10,True
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Net-Full-Service,0.045358,-0.488863,0.092782,0.32812,10,True
12-Month Momentum (Monthly Rebalance),Germany,TecDAX,Net-Tax,0.045786,-0.487215,0.093975,0.330642,10,True
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Buy-and-Hold,0.094757,-0.380932,0.248751,0.643743,1,True
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Gross,0.055542,-0.381222,0.145695,0.476007,9,True
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Net-Discount,0.054434,-0.38477,0.141471,0.465872,9,True
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Net-Full-Service,0.050409,-0.397342,0.126866,0.430043,9,True
12-Month Momentum (Monthly Rebalance),India,BSE Sensex,Net-Tax,0.055542,-0.381222,0.145695,0.476007,9,True
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Buy-and-Hold,0.096294,-0.384636,0.250352,0.652216,1,True
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Gross,0.043008,-0.423159,0.101636,0.387652,12,True
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Net-Discount,0.041434,-0.428356,0.096728,0.373704,12,True
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Net-Full-Service,0.035752,-0.44687,0.080005,0.325408,12,True
12-Month Momentum (Monthly Rebalance),India,Nifty 50,Net-Tax,0.043008,-0.423159,0.101636,0.387652,12,True
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Buy-and-Hold,0.10794,-0.478773,0.225452,0.572157,1,True
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Gross,0.041814,-0.503064,0.08312,0.331855,8,True
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Net-Discount,0.040737,-0.510149,0.079852,0.323873,8,True
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Net-Full-Service,0.037379,-0.532435,0.070204,0.300403,8,True
12-Month Momentum (Monthly Rebalance),India,Nifty Bank,Net-Tax,0.041704,-0.503741,0.082789,0.330924,8,True
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Buy-and-Hold,0.057646,-0.412062,0.139896,0.436297,1,True
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Gross,0.019036,-0.255764,0.074428,0.232168,13,True
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Net-Discount,0.014546,-0.26948,0.05398,0.187862,13,True
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Net-Full-Service,0.013548,-0.273368,0.049558,0.178435,13,True
12-Month Momentum (Monthly Rebalance),Indonesia,Jakarta Composite Index,Net-Tax,0.019036,-0.255764,0.074428,0.232168,13,True
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Buy-and-Hold,0.042996,-0.466626,0.092141,0.296917,1,True
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Gross,0.037746,-0.415417,0.090863,0.305297,6,True
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Net-Discount,0.025659,-0.439014,0.058447,0.232219,6,True
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Net-Full-Service,0.024134,-0.446646,0.054035,0.223223,6,True
12-Month Momentum (Monthly Rebalance),Italy,FTSE MIB,Net-Tax,0.026297,-0.436727,0.060214,0.236054,6,True
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Buy-and-Hold,0.098063,-0.318137,0.308241,0.553056,1,True
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Gross,0.066843,-0.447389,0.149407,0.467326,10,True
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Net-Discount,0.052042,-0.510663,0.101911,0.363725,10,True
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Net-Full-Service,0.029785,-0.643843,0.046262,0.246737,10,True
12-Month Momentum (Monthly Rebalance),Japan,Nikkei 225,Net-Tax,0.052647,-0.506061,0.104033,0.367954,10,True
12-Month Momentum (Monthly Rebalance),Mexico,IPC Mexico,Buy-and-Hold,0.031736,-0.363345,0.087344,0.278882,1,True
12-Month Momentum (Monthly Rebalance),Mexico,IPC Mexico,Gross,0.00327,-0.352259,0.009284,0.083844,15,True
12-Month Momentum (Monthly Rebalance),Mexico,IPC Mexico,Net-Discount,-0.005094,-0.402723,-0.012648,0.009001,15,True
12-Month Momentum (Monthly Rebalance),Mexico,IPC Mexico,Net-Full-Service,-0.012193,-0.448621,-0.027178,-0.048141,15,True
