trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-03-13,9921.25,2012-06-25,8837.8301,10.0794,-10920.2,-0.1092,104,108.9,108.9,0.0,-11138.0
2,2012-12-18,9848.8701,2014-04-23,14480.4102,9.0447,41890.76,0.4703,491,108.9,108.9,8510.11,33162.85
3,2014-07-16,15369.6602,2015-10-07,18168.1992,8.5214,23847.39,0.1821,448,108.9,108.9,4844.6,18784.99
4,2016-10-14,16751.0391,2018-08-22,22270.0391,9.2423,51008.2,0.3295,677,108.9,108.9,10362.32,40428.08
5,2018-09-05,22663.8008,2018-12-12,21348.4004,9.0817,-11946.09,-0.058,98,108.9,108.9,0.0,-12163.89
6,2019-10-18,22528.5605,2020-03-25,18446.8008,8.606,-35127.49,-0.1812,159,108.9,108.9,0.0,-35345.29
7,2020-07-20,22772.0703,2021-08-27,27581.2402,6.9714,33526.51,0.2112,403,108.9,108.9,6810.91,26497.8
8,2021-10-22,28578.5293,2021-12-10,28542.5,6.7281,-242.41,-0.0013,49,108.9,108.9,0.0,-460.21
9,2021-12-17,28854.5996,2022-01-21,27404.3594,6.6553,-9651.82,-0.0503,35,108.9,108.9,0.0,-9869.62
10,2022-09-01,27797.0,2023-01-20,26346.6895,6.5613,-9515.94,-0.0522,141,108.9,108.9,0.0,-9733.74
11,2023-03-27,27482.3906,2024-09-26,38266.7891,6.2902,67835.7,0.3924,549,108.9,0.0,13780.82,53945.98
12,2024-12-03,38748.6484,2025-03-21,37619.3711,6.2119,-7015.01,-0.0291,108,0.0,0.0,0.0,-7015.01
13,2025-07-09,39942.8008,2025-12-30,50339.4805,5.8506,60826.88,0.2603,174,0.0,0.0,12356.98,48469.9
