trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-02-08,7274.1699,2011-02-24,7134.7002,13.7473,-1917.33,-0.0192,16,1.0,1.0,0.0,-1919.33
2,2011-04-28,7450.5698,2011-05-18,7325.8501,13.1645,-1641.87,-0.0167,20,1.0,1.0,0.0,-1643.87
3,2011-06-22,7285.9302,2011-06-24,7231.73,13.2366,-717.43,-0.0074,2,1.0,1.0,0.0,-719.43
4,2011-06-30,7310.3398,2011-07-12,7112.1899,13.0942,-2594.62,-0.0271,12,1.0,1.0,0.0,-2596.62
5,2011-10-13,5969.9102,2011-11-02,5897.1401,15.5997,-1135.19,-0.0122,20,1.0,1.0,0.0,-1137.19
6,2012-01-04,6141.2598,2012-03-07,6638.48,14.9796,7448.16,0.081,63,1.0,1.0,1753.19,5692.97
7,2012-03-15,7093.9702,2012-03-30,6924.8198,14.0178,-2371.11,-0.0238,15,1.0,1.0,0.0,-2373.11
8,2012-07-03,6508.3301,2012-07-24,6420.8198,14.9148,-1305.2,-0.0134,21,1.0,1.0,0.0,-1307.2
9,2012-09-07,7183.9199,2012-10-01,7227.8101,13.3305,585.08,0.0061,24,1.0,1.0,0.0,583.08
10,2013-01-03,7762.1299,2013-01-16,7661.6099,12.4129,-1247.74,-0.013,13,1.0,1.0,0.0,-1249.74
11,2013-01-28,7859.8301,2013-02-05,7643.54,12.0998,-2617.08,-0.0275,8,1.0,1.0,0.0,-2619.08
12,2013-03-06,7907.3901,2013-03-26,7889.1499,11.6961,-213.34,-0.0023,20,1.0,1.0,0.0,-215.34
13,2013-05-06,8119.2202,2013-06-04,8358.6797,11.3647,2721.38,0.0295,29,1.0,1.0,506.5,2212.88
14,2013-09-17,8595.5596,2013-10-08,8591.0195,11.0515,-50.17,-0.0005,21,1.0,1.0,0.0,-52.17
15,2013-10-16,8792.9902,2013-12-05,9110.5303,10.7976,3428.68,0.0361,50,1.0,1.0,693.05,2733.63
16,2013-12-30,9586.5303,2014-01-27,9389.1699,10.2615,-2025.21,-0.0206,28,1.0,1.0,0.0,-2027.21
17,2014-05-27,9893.3301,2014-06-17,9915.2002,9.7386,212.98,0.0022,21,1.0,1.0,0.0,210.98
18,2014-11-03,9305.7305,2014-12-15,9599.8203,10.3764,3051.59,0.0316,42,1.0,1.0,593.59,2456.0
19,2015-01-20,10278.5498,2015-04-17,11942.3604,9.6912,16124.34,0.1619,87,1.0,1.0,4041.53,12080.81
20,2015-10-23,10610.3301,2015-11-16,10609.1396,10.9079,-12.99,-0.0001,24,1.0,1.0,0.0,-14.99
21,2015-11-20,11123.8096,2015-12-04,10770.1602,10.4032,-3679.08,-0.0318,14,1.0,1.0,0.0,-3681.08
22,2016-04-20,10312.6396,2016-05-04,9925.25,10.8647,-4208.88,-0.0376,14,1.0,1.0,0.0,-4210.88
23,2016-05-30,10293.4297,2016-06-10,10024.6904,10.4761,-2815.34,-0.0261,11,1.0,1.0,0.0,-2817.34
24,2016-08-10,10676.9004,2016-09-02,10570.7002,9.8362,-1044.6,-0.0099,23,1.0,1.0,0.0,-1046.6
25,2016-12-08,11035.7598,2017-01-24,11554.7998,9.4216,4890.21,0.047,47,1.0,1.0,1078.53,3809.68
26,2017-01-26,11867.9102,2017-02-01,11646.4199,9.1731,-2031.75,-0.0187,6,1.0,1.0,0.0,-2033.75
27,2017-02-22,11989.71,2017-03-22,11870.7803,8.9104,-1059.71,-0.0099,28,1.0,1.0,0.0,-1061.71
28,2017-03-29,12195.8604,2017-04-18,12135.6104,8.6729,-522.54,-0.0049,20,1.0,1.0,0.0,-524.54
29,2017-04-25,12457.8301,2017-05-23,12597.54,8.4486,1180.35,0.0112,28,1.0,1.0,100.05,1078.3
30,2017-06-20,12938.04,2017-06-28,12586.0596,8.2263,-2895.48,-0.0272,8,1.0,1.0,0.0,-2897.48
31,2017-09-12,12527.4404,2017-11-13,13150.7803,8.2647,5151.75,0.0498,62,1.0,1.0,1147.51,4002.24
32,2017-12-19,13314.7305,2017-12-21,13065.79,8.163,-2032.1,-0.0187,2,1.0,1.0,0.0,-2034.1
33,2018-05-08,12924.2305,2018-05-25,12917.1504,8.2524,-58.43,-0.0005,17,1.0,1.0,0.0,-60.43
34,2018-07-19,12740.6797,2018-08-03,12572.6104,8.3667,-1406.18,-0.0132,15,1.0,1.0,0.0,-1408.18
35,2019-01-21,11176.1201,2019-02-08,10991.79,9.4121,-1734.94,-0.0165,18,1.0,1.0,0.0,-1736.94
36,2019-03-20,11704.4404,2019-03-22,11578.3896,8.8391,-1114.17,-0.0108,2,1.0,1.0,0.0,-1116.17
37,2019-04-04,11924.6104,2019-05-08,12110.8701,8.5824,1598.56,0.0156,34,1.0,1.0,210.36,1386.2
38,2019-06-19,12321.4297,2019-07-12,12318.5,8.4358,-24.71,-0.0002,23,1.0,1.0,0.0,-26.71
39,2019-09-02,11939.9902,2019-10-02,12221.7402,8.7032,2452.12,0.0236,30,1.0,1.0,435.48,2014.64
40,2019-12-17,13391.2695,2020-01-07,13199.5898,7.9431,-1522.53,-0.0143,21,1.0,1.0,0.0,-1524.53
41,2020-01-10,13533.46,2020-01-28,13274.0098,7.7471,-2009.99,-0.0192,18,1.0,1.0,0.0,-2011.99
42,2020-05-27,11530.2002,2020-06-25,12102.25,8.9188,5101.99,0.0496,29,1.0,1.0,1134.39,3965.61
43,2020-12-17,13691.4902,2020-12-22,13311.0195,7.8835,-2999.46,-0.0278,5,1.0,1.0,0.0,-3001.46
44,2020-12-29,13873.3496,2021-01-26,13687.3896,7.564,-1406.6,-0.0134,28,1.0,1.0,0.0,-1408.6
