trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-03-28,5645.25,2011-04-29,5782.5,17.714,2431.25,0.0243,32,123.6,126.03,364.69,1816.93
2,2011-10-31,5358.8999,2011-11-14,5217.3501,19.1142,-2705.62,-0.0264,14,126.03,123.33,0.0,-2954.97
3,2012-01-18,4977.75,2012-02-28,5310.5,20.0343,6666.41,0.0668,41,123.33,129.99,999.96,5413.13
4,2012-06-08,5044.25,2012-07-17,5228.0498,21.0917,3876.66,0.0364,39,129.99,133.87,581.5,3031.3
5,2012-09-17,5631.75,2012-10-17,5681.1001,19.5798,966.27,0.0088,30,133.87,134.84,144.94,552.62
6,2012-11-30,5836.0,2012-12-24,5869.0,19.0601,628.98,0.0057,24,134.84,135.46,94.35,264.34
7,2013-01-03,6015.7998,2013-02-04,6025.2002,18.595,174.8,0.0016,32,135.46,135.64,26.22,-122.52
8,2013-04-23,5843.1001,2013-05-24,6010.7002,19.1745,3213.65,0.0287,31,135.64,138.85,482.05,2457.12
9,2013-09-11,5887.25,2013-10-01,5756.1001,19.5766,-2567.47,-0.0223,20,138.85,136.28,0.0,-2842.61
10,2013-12-10,6354.7002,2013-12-16,6168.3501,17.7325,-3304.46,-0.0293,6,136.28,132.98,0.0,-3573.72
11,2014-02-28,6228.4502,2014-04-30,6724.9502,17.5614,8719.25,0.0797,61,132.98,141.7,1307.89,7136.68
12,2014-05-13,7080.0,2014-06-27,7514.2002,16.6808,7242.79,0.0613,45,141.7,148.94,1086.42,5865.73
13,2014-07-03,7734.3501,2014-07-10,7589.5,16.206,-2347.43,-0.0187,7,148.94,146.6,0.0,-2642.97
14,2014-10-31,8200.7998,2014-12-09,8439.2998,14.9979,3577.01,0.0291,39,146.6,150.17,536.55,2743.69
15,2015-01-16,8504.0498,2015-02-10,8478.0996,14.8837,-386.24,-0.0031,25,150.17,149.79,0.0,-686.19
16,2015-07-17,8623.6504,2015-07-28,8371.0996,14.6325,-3695.46,-0.0293,11,149.79,146.09,0.0,-3991.33
17,2015-10-06,8180.4502,2015-10-30,8123.5498,14.9736,-852.0,-0.007,24,146.09,145.24,0.0,-1143.33
18,2016-04-18,7908.1499,2016-05-04,7724.1499,15.3814,-2830.18,-0.0233,16,145.24,142.41,0.0,-3117.82
19,2016-05-27,8081.9502,2016-06-27,8039.3501,14.7004,-626.24,-0.0053,31,142.41,141.78,0.0,-910.43
20,2016-07-05,8379.2998,2016-08-05,8600.2002,14.104,3115.59,0.0264,31,141.78,144.9,467.34,2361.57
21,2016-08-09,8727.7998,2016-08-11,8572.7998,13.8978,-2154.17,-0.0178,2,144.9,142.74,0.0,-2441.81
22,2016-08-31,8754.0498,2016-09-14,8710.6504,13.6101,-590.67,-0.005,14,142.74,142.15,0.0,-875.57
23,2017-01-12,8391.0498,2017-04-17,9144.75,14.1285,10648.63,0.0898,95,142.15,152.8,1597.3,8756.38
24,2017-04-27,9359.1504,2017-05-25,9384.0498,13.8048,343.73,0.0027,28,152.8,153.15,51.56,-13.77
25,2017-05-29,9560.0498,2017-06-27,9594.0498,13.5507,460.72,0.0036,29,153.15,153.61,69.11,84.86
26,2017-07-11,9797.4502,2017-08-10,9872.8496,13.2694,1000.5,0.0077,30,153.61,154.61,150.08,542.21
27,2017-09-13,10099.25,2017-09-25,9960.0996,12.9719,-1805.04,-0.0138,12,154.61,152.8,0.0,-2112.45
28,2018-01-16,10761.5,2018-02-05,10604.2998,12.0059,-1887.33,-0.0146,20,152.8,150.91,0.0,-2191.04
29,2018-07-11,10956.4004,2018-09-05,11514.8496,11.6201,6489.21,0.051,56,150.91,157.4,0.0,6180.89
30,2018-11-30,10892.0996,2018-12-07,10644.7998,12.2844,-3037.94,-0.0227,7,157.4,154.37,0.0,-3349.7
31,2019-02-07,11070.4502,2019-02-14,10786.0996,11.8121,-3358.78,-0.0257,7,154.37,151.01,0.0,-3664.15
32,2019-03-12,11231.3496,2019-04-23,11612.9502,11.3438,4328.81,0.034,42,151.01,155.34,0.0,4022.47
33,2019-09-23,11542.7002,2019-10-07,11196.2002,11.4129,-3954.56,-0.03,14,155.34,151.38,0.0,-4261.27
34,2019-11-28,12132.0996,2019-12-09,11939.0996,10.5324,-2032.76,-0.0159,11,151.38,149.35,0.0,-2333.49
35,2019-12-19,12223.4004,2020-01-07,12079.0996,10.2875,-1484.49,-0.0118,19,149.35,147.86,0.0,-1781.7
