trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-05-02,9964.3896,2011-05-16,9571.1299,10.0357,-3946.65,-0.0395,14,108.9,108.9,0.0,-4164.45
2,2011-06-30,9838.0898,2011-07-29,9866.8203,9.7634,280.51,0.0029,29,108.9,108.9,56.99,5.72
3,2011-10-31,9011.1797,2011-11-04,8761.2695,10.6905,-2671.66,-0.0277,4,108.9,108.9,0.0,-2889.46
4,2012-01-20,8751.1797,2012-04-05,9737.5,10.7028,10556.4,0.1127,76,108.9,108.9,2144.53,8194.06
5,2012-07-02,9103.79,2012-07-13,8701.3496,11.4478,-4607.07,-0.0442,11,108.9,108.9,0.0,-4824.87
6,2012-08-10,8931.9199,2012-08-31,8891.75,11.1523,-447.99,-0.0045,21,108.9,108.9,0.0,-665.79
7,2012-11-26,9466.0596,2013-01-24,10441.1104,10.4757,10214.33,0.103,59,108.9,108.9,2075.04,7921.49
8,2013-01-31,11057.5,2013-02-28,11396.7305,9.8917,3355.58,0.0307,28,108.9,108.9,681.69,2456.09
9,2013-03-07,12037.25,2013-04-02,12051.5703,9.3654,134.12,0.0012,26,108.9,108.9,27.25,-110.93
10,2013-04-08,13082.6104,2013-05-28,13943.6201,8.6273,7428.19,0.0658,50,108.9,108.9,1509.04,5701.35
11,2013-07-02,13969.1504,2013-07-29,13899.2695,8.6115,-601.78,-0.005,27,108.9,108.9,0.0,-819.58
12,2013-09-11,14511.7402,2013-10-03,14140.1104,8.2481,-3065.23,-0.0256,22,108.9,108.9,0.0,-3283.03
13,2013-11-15,15034.3301,2013-12-06,15112.54,7.7575,606.71,0.0052,21,108.9,108.9,123.25,265.66
14,2013-12-27,16229.4297,2014-01-15,15649.0703,7.2236,-4192.3,-0.0358,19,108.9,108.9,0.0,-4410.1
15,2014-03-10,15197.5303,2014-03-13,14847.7197,7.4383,-2601.98,-0.023,3,108.9,108.9,0.0,-2819.78
16,2014-06-03,15089.04,2014-06-30,15159.4502,7.3193,515.35,0.0047,27,108.9,108.9,104.69,192.86
17,2014-07-29,15564.79,2014-08-06,15260.0,7.1287,-2172.75,-0.0196,8,108.9,108.9,0.0,-2390.55
18,2014-09-12,15885.04,2014-10-03,15616.4805,6.8482,-1839.15,-0.0169,21,108.9,108.9,0.0,-2056.95
19,2014-11-04,16732.8496,2014-12-11,17180.4902,6.3913,2861.0,0.0268,37,108.9,108.9,581.21,2061.99
20,2015-02-19,18237.3496,2015-04-01,19129.75,6.0209,5373.07,0.0489,41,108.9,108.9,1091.54,4063.73
21,2015-06-24,20889.3203,2015-06-30,20174.6094,5.5138,-3940.74,-0.0342,6,108.9,108.9,0.0,-4158.54
22,2015-11-10,19457.0508,2015-12-07,19710.3906,5.7171,1448.37,0.013,27,108.9,108.9,294.24,936.33
23,2016-06-01,17097.2207,2016-06-03,16599.5098,6.5909,-3280.37,-0.0291,2,108.9,108.9,0.0,-3498.17
24,2016-10-21,17283.75,2016-11-07,17126.0293,6.33,-998.37,-0.0091,17,108.9,108.9,0.0,-1216.17
25,2016-12-12,19183.8203,2017-01-11,19358.6406,5.651,987.91,0.0091,30,108.9,108.9,200.69,569.41
26,2017-03-13,19545.7402,2017-03-23,19048.8398,5.5969,-2781.1,-0.0254,10,108.9,108.9,0.0,-2998.9
27,2017-04-27,19205.5898,2017-05-30,19681.1094,5.5512,2639.71,0.0248,33,108.9,108.9,536.26,1885.65
28,2017-06-05,20135.4199,2017-06-16,19931.1504,5.426,-1108.36,-0.0101,11,108.9,108.9,0.0,-1326.16
29,2017-09-14,19860.3691,2017-11-16,21975.2305,5.4453,11516.06,0.1065,63,108.9,108.9,2339.49,8958.77
30,2018-01-05,23643.0,2018-01-30,23559.3301,5.0612,-423.47,-0.0035,25,108.9,108.9,0.0,-641.27
31,2018-09-19,23754.9609,2018-10-10,23538.9199,5.0195,-1084.42,-0.0091,21,108.9,108.9,0.0,-1302.22
32,2019-02-14,21147.8906,2019-03-11,21062.75,5.587,-475.68,-0.004,25,108.9,108.9,0.0,-693.48
33,2019-04-16,22108.1504,2019-05-08,21628.0391,5.3228,-2555.56,-0.0217,22,108.9,108.9,0.0,-2773.36
34,2019-07-02,21699.4297,2019-07-18,21336.8008,5.3053,-1923.87,-0.0167,16,108.9,108.9,0.0,-2141.67
35,2019-09-06,21201.8301,2019-10-04,21316.1797,5.3391,610.52,0.0054,28,108.9,108.9,124.03,268.7
36,2019-10-17,22451.1504,2019-11-22,23030.3301,5.0692,2935.98,0.0258,36,108.9,108.9,596.44,2121.73
37,2019-12-16,23955.1992,2020-01-06,23319.7598,4.8735,-3096.8,-0.0265,21,108.9,108.9,0.0,-3314.6
38,2020-05-12,20413.2305,2020-06-16,21912.2891,5.5674,8345.85,0.0734,35,108.9,108.9,1695.46,6432.59
39,2020-07-16,22907.9609,2020-07-30,22489.2402,5.3254,-2229.86,-0.0183,14,108.9,108.9,0.0,-2447.66
40,2020-08-14,23323.9199,2020-09-08,23188.7891,5.1348,-693.87,-0.0058,25,108.9,108.9,0.0,-911.67
41,2020-09-15,23438.8301,2020-09-25,23217.3301,5.0801,-1125.23,-0.0095,10,108.9,108.9,0.0,-1343.03
42,2020-11-06,24076.2207,2020-12-23,26580.4297,4.8988,12267.7,0.104,47,108.9,108.9,2492.18,9557.72
43,2020-12-30,27559.0996,2021-02-01,27649.0703,4.7249,425.1,0.0033,33,108.9,108.9,86.36,120.94
44,2021-02-09,29435.6094,2021-03-01,29419.4492,4.4381,-71.72,-0.0005,20,108.9,108.9,0.0,-289.52
45,2021-09-02,28522.4609,2021-09-30,29569.1895,4.5777,4791.58,0.0367,28,108.9,108.9,973.41,3600.37
46,2022-03-24,27693.7695,2022-04-08,27097.0508,4.8877,-2916.57,-0.0215,15,108.9,108.9,0.0,-3134.37
47,2022-05-31,27318.0898,2022-06-14,26555.75,4.8481,-3695.92,-0.0279,14,108.9,108.9,0.0,-3913.72
48,2022-07-21,27627.8809,2022-08-30,28086.7207,4.66,2138.19,0.0166,40,108.9,108.9,434.37,1486.01
49,2022-11-14,28277.6406,2022-12-05,27752.9902,4.6285,-2428.36,-0.0186,21,108.9,108.9,0.0,-2646.16
50,2023-01-24,27150.4297,2023-02-22,27265.9902,4.7312,546.75,0.0043,29,108.9,108.9,111.07,217.87
51,2023-03-06,28182.3105,2023-03-15,27421.6602,4.5774,-3481.81,-0.027,9,108.9,108.9,0.0,-3699.61
52,2023-05-16,29838.0098,2023-06-28,32807.8398,4.2067,12493.26,0.0995,43,108.9,108.9,2538.01,9737.45
53,2023-09-05,32941.4102,2023-09-22,32189.3203,4.1897,-3151.01,-0.0228,17,108.9,108.9,0.0,-3368.81
54,2023-11-16,33399.5898,2023-12-06,32928.9219,4.0379,-1900.49,-0.0141,20,0.0,0.0,0.0,-1900.49
55,2024-01-11,34871.3281,2024-03-12,38470.3906,3.8129,13722.99,0.1032,61,0.0,0.0,2787.83,10935.16
56,2024-03-22,40942.8789,2024-04-02,39892.5898,3.5827,-3762.85,-0.0257,11,0.0,0.0,0.0,-3762.85
57,2024-06-27,39434.4688,2024-07-19,39965.9102,3.6243,1926.1,0.0135,22,0.0,0.0,391.29,1534.81
58,2024-09-30,39117.8281,2024-10-23,38397.2812,3.7029,-2668.09,-0.0184,23,0.0,0.0,0.0,-2668.09
59,2024-12-13,39624.0508,2024-12-20,38950.2812,3.5882,-2417.64,-0.017,7,0.0,0.0,0.0,-2417.64
60,2024-12-30,40325.7812,2025-01-07,39584.3594,3.4658,-2569.65,-0.0184,8,0.0,0.0,0.0,-2569.65
61,2025-06-19,38858.5195,2025-09-02,42299.6289,3.5306,12149.1,0.0886,75,0.0,0.0,2468.09,9681.01
62,2025-09-12,44803.3008,2025-11-18,49812.9492,3.3333,16698.57,0.1118,67,0.0,0.0,3392.32,13306.26
