trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-07-01,5945.7002,2011-07-15,5847.0,16.8189,-1660.03,-0.0166,14,507.19,498.89,0.0,-2666.1
2,2012-01-04,5699.8999,2012-01-31,5671.1001,17.2529,-496.88,-0.0051,27,498.89,496.4,0.0,-1492.17
3,2012-02-06,5901.1001,2012-03-01,5871.5,16.5805,-490.78,-0.005,24,496.4,493.95,0.0,-1481.14
4,2012-06-20,5586.2998,2012-07-24,5533.8999,17.427,-913.17,-0.0094,34,493.95,489.38,0.0,-1896.51
5,2012-08-06,5787.2998,2012-08-23,5774.2002,16.6639,-218.29,-0.0023,17,489.38,488.29,0.0,-1195.97
6,2012-09-17,5915.6001,2012-09-27,5768.1001,16.2656,-2399.18,-0.0249,10,488.29,476.3,0.0,-3363.77
7,2012-10-18,5910.8999,2012-10-24,5797.8999,15.8727,-1793.61,-0.0191,6,476.3,467.33,0.0,-2737.23
8,2013-01-03,6027.3999,2013-02-22,6291.5,15.2683,4032.36,0.0438,50,467.33,487.49,0.0,3077.54
9,2013-03-06,6432.0,2013-03-22,6388.6001,14.9348,-648.17,-0.0067,16,487.49,484.25,0.0,-1619.91
10,2013-10-23,6695.7002,2013-11-14,6630.0,14.2498,-936.21,-0.0098,22,484.25,479.57,0.0,-1900.03
11,2013-12-30,6750.8999,2014-01-27,6663.7002,13.9946,-1220.32,-0.0129,28,479.57,473.47,0.0,-2173.36
12,2014-04-30,6769.8999,2014-06-04,6836.2998,13.7751,914.66,0.0098,35,473.47,478.04,0.0,-36.84
13,2015-01-22,6728.0,2015-03-10,6876.5,13.9968,2078.52,0.0221,47,478.04,488.43,0.0,1112.05
14,2016-04-14,6362.8999,2016-05-03,6241.8999,15.1266,-1830.32,-0.019,19,488.43,479.28,0.0,-2798.03
15,2016-07-01,6504.2998,2016-08-03,6645.3999,14.5163,2048.26,0.0217,33,479.28,489.52,0.0,1079.45
16,2016-08-08,6793.5,2016-08-26,6816.8999,14.1999,332.28,0.0034,18,489.52,491.18,0.0,-648.43
17,2016-10-05,7074.2998,2016-10-18,6947.6001,13.6832,-1733.66,-0.0179,13,491.18,482.52,0.0,-2707.36
18,2016-12-08,6902.2002,2017-01-24,7151.2002,13.7732,3429.53,0.0361,47,482.52,499.66,0.0,2447.35
19,2017-02-16,7302.3999,2017-03-23,7324.7002,13.488,300.79,0.0031,35,499.66,501.17,0.0,-700.04
20,2017-05-17,7522.0,2017-06-08,7478.6001,13.1342,-570.02,-0.0058,22,501.17,498.32,0.0,-1569.51
21,2017-07-21,7487.8999,2017-07-25,7377.7002,13.1179,-1445.59,-0.0147,4,498.32,491.09,0.0,-2435.0
22,2017-08-07,7511.7002,2017-08-11,7389.8999,12.8839,-1569.27,-0.0162,4,491.09,483.24,0.0,-2543.6
23,2017-12-13,7500.3999,2018-01-25,7643.3999,12.6941,1815.26,0.0191,43,483.24,492.32,0.0,839.7
24,2018-08-09,7776.7002,2018-08-13,7667.0,12.4765,-1368.68,-0.0141,4,492.32,485.48,0.0,-2346.47
25,2019-02-06,7177.3999,2019-02-28,7107.2002,13.3276,-935.59,-0.0098,22,485.48,480.8,0.0,-1901.87
26,2019-03-19,7299.2002,2019-03-26,7177.6001,12.977,-1578.01,-0.0167,7,480.8,472.91,0.0,-2531.71
27,2019-04-03,7391.1001,2019-05-01,7418.2002,12.6022,341.52,0.0037,28,472.91,474.61,0.0,-606.0
28,2019-07-03,7559.2002,2019-07-19,7493.1001,12.3671,-817.47,-0.0087,16,474.61,470.53,0.0,-1762.61
29,2019-07-30,7686.6001,2019-08-05,7407.1001,12.0558,-3369.59,-0.0364,6,470.53,453.68,0.0,-4293.8
30,2019-09-30,7426.2002,2019-10-03,7122.5,12.0248,-3651.92,-0.0409,3,453.68,435.42,0.0,-4541.02
31,2019-12-17,7519.1001,2020-01-23,7571.8999,11.3905,601.42,0.007,37,435.42,438.43,0.0,-272.43
32,2020-04-30,6115.2998,2020-05-05,5753.7998,14.1036,-5098.46,-0.0591,5,438.43,412.93,0.0,-5949.82
33,2020-06-04,6382.3999,2020-06-12,6076.7002,12.7146,-3886.84,-0.0479,8,412.93,393.5,0.0,-4693.27
34,2020-11-10,6186.2998,2020-12-23,6453.2002,12.4893,3333.4,0.0431,43,393.5,410.17,0.0,2529.73
35,2021-01-07,6841.8999,2021-01-26,6638.8999,11.7798,-2391.29,-0.0297,19,410.17,398.21,0.0,-3199.67
36,2021-04-07,6823.6001,2021-05-05,6923.2002,11.4609,1141.51,0.0146,28,398.21,403.92,0.0,339.38
37,2021-05-06,7039.2998,2021-05-12,6948.0,11.2719,-1029.12,-0.013,6,403.92,398.77,0.0,-1831.81
38,2021-06-16,7172.5,2021-06-21,7017.5,10.9191,-1692.46,-0.0216,5,398.77,390.31,0.0,-2481.54
39,2021-10-15,7207.7002,2021-11-19,7256.0,10.6309,513.47,0.0067,35,390.31,392.88,0.0,-269.72
40,2022-01-05,7505.2002,2022-01-25,7297.2002,10.2779,-2137.81,-0.0277,20,392.88,382.19,0.0,-2912.88
41,2022-11-02,7186.2002,2022-12-13,7446.0,10.4367,2711.45,0.0362,41,382.19,395.75,0.0,1933.52
42,2023-01-06,7633.5,2023-02-02,7761.1001,10.1803,1299.01,0.0167,27,395.75,402.24,0.0,501.03
43,2023-02-06,7901.7998,2023-02-27,7878.7002,9.9991,-230.97,-0.0029,21,402.24,401.09,0.0,-1034.3
44,2023-09-15,7673.1001,2023-10-03,7510.7002,10.267,-1667.36,-0.0212,18,401.09,392.75,0.0,-2461.2
45,2023-12-15,7649.0,2024-01-11,7651.7998,10.0814,28.23,0.0004,27,392.75,392.89,0.0,-757.41
46,2024-03-14,7772.2002,2024-04-17,7820.3999,9.9252,478.39,0.0062,34,392.89,395.28,0.0,-309.78
47,2024-04-24,8044.7998,2024-05-28,8317.5996,9.6483,2632.07,0.0339,34,395.28,408.44,0.0,1828.34
48,2024-07-29,8285.7002,2024-08-05,8174.7002,9.6855,-1075.09,-0.0134,7,408.44,403.07,0.0,-1886.6
49,2024-10-18,8385.0996,2024-10-24,8258.5996,9.4425,-1194.47,-0.0151,6,403.07,397.1,0.0,-1994.63
50,2024-11-26,8291.7002,2024-12-17,8262.0996,9.4048,-278.39,-0.0036,21,397.1,395.7,0.0,-1071.19
51,2025-01-17,8391.9004,2025-02-21,8663.0,9.2593,2510.19,0.0323,35,395.7,408.25,0.0,1706.23
52,2025-03-04,8871.2998,2025-03-07,8682.7998,9.0419,-1704.4,-0.0212,3,408.25,399.73,0.0,-2512.38
53,2025-05-21,8781.0996,2025-06-20,8791.7998,8.9407,95.67,0.0012,30,399.73,400.21,0.0,-704.28
54,2025-07-11,8975.7002,2025-09-03,9116.7002,8.7575,1234.81,0.0157,54,400.21,406.38,0.0,428.21
55,2025-10-01,9350.5,2025-10-20,9354.5,8.5385,34.15,0.0004,19,406.38,406.56,0.0,-778.79
56,2025-10-27,9645.5996,2025-11-18,9675.4004,8.2808,246.78,0.0031,22,406.56,407.79,0.0,-567.57
57,2025-12-19,9837.7998,2025-12-30,9940.7002,8.1441,838.03,0.0105,11,407.79,411.98,0.0,18.26
