trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-02-02,1305.91,2011-02-24,1307.09,76.575,90.35,0.0009,22,10.95,10.95,22.59,45.86
2,2011-04-27,1348.4301,2011-05-16,1334.77,74.2273,-1013.95,-0.0101,19,10.95,10.93,0.0,-1035.83
3,2011-07-01,1320.64,2011-07-19,1307.0699,75.0215,-1018.05,-0.0103,18,10.93,10.91,0.0,-1039.89
4,2012-02-06,1344.3199,2012-03-07,1343.39,72.9427,-67.83,-0.0007,30,10.91,10.91,0.0,-89.65
5,2012-03-14,1395.95,2012-04-05,1398.79,70.1963,199.36,0.002,22,10.91,10.91,49.84,127.7
6,2012-07-05,1373.72,2012-07-11,1341.4,71.4774,-2310.14,-0.0235,6,10.91,10.87,0.0,-2331.93
7,2012-09-07,1432.12,2012-09-27,1433.36,66.9495,83.02,0.0009,20,10.87,10.87,20.75,40.53
8,2012-12-19,1446.79,2012-12-27,1419.83,66.3281,-1788.21,-0.0186,8,10.87,10.83,0.0,-1809.91
9,2013-01-03,1462.42,2013-02-22,1502.42,64.3964,2575.86,0.0274,50,10.83,10.88,643.96,1910.17
10,2013-03-06,1539.79,2013-04-04,1553.6899,62.8335,873.38,0.009,29,10.88,10.9,218.34,633.25
11,2013-04-11,1587.73,2013-04-16,1552.36,61.4864,-2174.77,-0.0223,5,10.9,10.86,0.0,-2196.53
12,2013-07-12,1675.26,2013-08-12,1688.37,56.9756,746.95,0.0078,31,10.86,10.87,186.74,538.48
13,2013-09-19,1727.34,2013-10-01,1682.41,55.6902,-2502.16,-0.026,12,10.87,10.82,0.0,-2523.86
14,2013-10-18,1736.72,2013-12-06,1788.36,53.9487,2785.91,0.0297,49,10.82,10.88,696.48,2067.73
15,2013-12-24,1828.02,2014-01-14,1821.36,52.7783,-351.51,-0.0036,21,10.88,10.87,0.0,-373.26
16,2014-05-28,1911.77,2014-07-18,1961.54,50.2823,2502.55,0.026,51,10.87,10.92,625.64,1855.12
17,2016-04-14,2082.8899,2016-04-29,2071.8201,47.3528,-524.19,-0.0053,15,10.92,10.91,0.0,-546.02
18,2016-05-26,2091.4399,2016-06-14,2076.6499,46.9086,-693.78,-0.0071,19,10.91,10.9,0.0,-715.59
19,2016-12-08,2241.1299,2017-01-03,2251.5701,43.4659,453.79,0.0047,26,10.9,10.91,113.45,318.54
20,2017-01-26,2298.6299,2017-03-15,2370.3401,42.5761,3053.14,0.0312,48,10.91,6.97,763.28,2271.98
21,2017-04-26,2388.98,2017-05-18,2354.6899,42.2439,-1448.54,-0.0144,22,6.97,6.94,0.0,-1462.45
22,2017-06-05,2437.8301,2017-06-28,2428.7,40.8032,-372.54,-0.0037,23,6.94,6.93,0.0,-386.41
23,2017-07-17,2459.5,2017-08-11,2441.04,40.2922,-743.79,-0.0075,25,6.93,6.92,0.0,-757.64
24,2017-09-13,2493.8899,2017-11-16,2572.95,39.4383,3118.0,0.0317,64,6.92,6.98,779.5,2324.6
25,2017-11-29,2627.8201,2018-02-05,2741.0601,38.6148,4372.74,0.0431,68,6.98,7.07,1049.46,3309.24
26,2018-05-11,2722.7,2018-05-30,2702.4299,38.8752,-788.0,-0.0074,19,7.07,7.05,0.0,-802.12
27,2018-06-07,2774.8401,2018-06-22,2760.79,37.8608,-531.95,-0.0051,15,7.05,7.04,0.0,-546.04
28,2018-08-28,2901.45,2018-10-05,2902.54,36.0253,39.27,0.0004,38,7.04,7.04,9.43,15.76
29,2019-03-19,2840.76,2019-03-26,2812.6599,36.8088,-1034.33,-0.0099,7,7.04,7.02,0.0,-1048.39
