trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-04,6979.6802,2011-05-03,7518.6001,14.3273,7721.27,0.0772,119,1.0,1.0,1825.22,5894.05
2,2011-11-02,5897.1401,2012-05-03,6749.27,18.2667,15565.6,0.1445,183,1.0,1.0,3894.16,11669.44
3,2012-11-02,7336.52,2013-05-03,7972.2798,16.8045,10683.65,0.0867,182,1.0,1.0,2606.55,8075.1
4,2013-11-04,9035.9102,2014-05-05,9536.3799,14.8265,7420.19,0.0554,182,1.0,1.0,1745.81,5672.38
5,2014-11-04,9244.0898,2015-05-05,11576.1201,15.2953,35669.0,0.2523,182,1.0,1.0,9196.43,26470.56
6,2015-11-03,10945.3496,2016-05-03,10052.5498,16.1767,-14442.56,-0.0816,182,1.0,1.0,0.0,-14444.56
7,2016-11-02,10443.5195,2017-05-03,12502.3604,15.5711,32058.43,0.1971,182,1.0,1.0,8244.15,23812.28
8,2017-11-02,13448.5195,2018-05-03,12775.6602,14.4756,-9740.05,-0.05,182,1.0,1.0,0.0,-9742.05
9,2018-11-02,11636.3701,2019-05-03,12345.3203,15.8929,11267.27,0.0609,182,1.0,1.0,2760.48,8504.79
10,2019-11-04,13022.9502,2020-05-05,10627.0703,15.0659,-36096.15,-0.184,183,1.0,1.0,0.0,-36098.15
11,2020-11-03,11858.8096,2021-05-04,15259.5,13.5011,45912.97,0.2868,182,1.0,1.0,11898.28,34012.69
12,2021-11-02,15825.2695,2022-05-03,13958.9199,13.0184,-24296.88,-0.1179,182,1.0,1.0,0.0,-24298.88
13,2022-11-02,13369.3301,2023-05-03,15774.0195,13.5925,32685.76,0.1799,182,1.0,1.0,8357.12,24326.64
14,2023-11-02,15033.6504,2024-05-03,17900.1504,14.2619,40881.75,0.1907,183,1.0,1.0,10518.81,30360.94
15,2024-11-04,19231.8594,2025-05-05,23064.2598,13.2743,50872.59,0.1993,182,1.0,1.0,13153.9,37716.69
16,2025-11-04,23801.2402,2025-12-30,24490.4102,12.8633,8865.01,0.029,56,1.0,1.0,2074.4,6788.61
