trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-04,6172.75,2011-05-03,5689.7002,16.2002,-7825.52,-0.0783,119,123.6,115.77,0.0,-8064.89
2,2011-11-02,5216.75,2012-05-03,5211.2002,17.6689,-98.06,-0.0011,183,115.77,115.68,0.0,-329.51
3,2012-11-02,5696.3501,2013-05-03,5993.5,16.1641,4803.16,0.0522,182,115.68,120.48,720.47,3846.53
4,2013-11-05,6282.1499,2014-05-05,6681.6499,15.4214,6160.85,0.0636,181,120.48,126.64,924.13,4989.6
5,2014-11-05,8351.25,2015-05-05,8338.4004,12.3383,-158.54,-0.0015,181,126.64,126.48,0.0,-411.66
6,2015-11-03,8086.3501,2016-05-03,7824.7998,12.7229,-3327.68,-0.0323,182,126.48,123.15,0.0,-3577.32
7,2016-11-02,8542.7998,2017-05-03,9344.7002,11.6536,9345.01,0.0939,182,123.15,132.5,1401.75,7687.61
8,2017-11-02,10440.5,2018-05-03,10720.1504,10.4305,2916.88,0.0268,182,132.5,135.42,0.0,2648.97
9,2018-11-02,10462.2998,2019-05-03,11722.5996,10.6875,13469.49,0.1205,182,135.42,148.89,0.0,13185.19
10,2019-11-04,11928.9004,2020-05-05,9429.4004,10.5027,-26251.48,-0.2095,183,148.89,122.63,0.0,-26523.0
11,2020-11-03,11734.4502,2021-05-04,14687.25,8.4396,24920.46,0.2516,182,122.63,147.55,0.0,24650.27
12,2021-11-02,17970.9004,2022-05-04,17096.5996,6.8975,-6030.5,-0.0487,183,147.55,141.52,0.0,-6319.58
13,2022-11-02,18177.9004,2023-05-03,18113.8008,6.4872,-415.83,-0.0035,182,141.52,141.11,0.0,-698.46
14,2023-11-02,19120.0,2024-05-03,22766.3496,6.1458,22409.84,0.1907,183,141.11,163.52,0.0,22105.21
15,2024-11-04,24315.75,2025-05-05,24419.5,5.7542,597.0,0.0043,182,163.52,164.12,0.0,269.37
16,2025-11-04,25744.75,2025-12-30,25938.8496,5.458,1059.4,0.0075,56,164.12,165.17,0.0,730.11
