trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-05,10387.9502,2011-05-06,9851.1504,9.6265,-5167.52,-0.0517,121,108.9,108.9,0.0,-5385.32
2,2011-11-02,8719.9199,2012-05-02,9397.8701,10.8754,7372.97,0.0777,182,108.9,108.9,1497.82,5657.35
3,2012-11-02,9049.2197,2013-05-02,13727.25,11.2944,52835.51,0.517,181,108.9,108.9,10733.53,41884.18
4,2013-11-05,14319.75,2014-05-02,14454.4404,10.8271,1458.3,0.0094,178,108.9,108.9,296.25,944.25
5,2014-11-05,16785.4395,2015-05-07,19356.4609,9.3235,23970.95,0.1532,183,108.9,108.9,4869.7,18883.45
6,2015-11-04,18941.3203,2016-05-06,16212.6699,9.5279,-25998.19,-0.1441,184,108.9,108.9,0.0,-26215.99
7,2016-11-02,17238.0,2017-05-02,19335.7207,8.9611,18797.96,0.1217,181,108.9,108.9,3818.8,14761.35
8,2017-11-02,22512.1797,2018-05-02,22568.1895,7.6967,431.09,0.0025,181,108.9,108.9,87.58,125.72
9,2018-11-02,21761.5801,2019-05-08,21628.0391,7.982,-1065.93,-0.0061,187,108.9,108.9,0.0,-1283.73
10,2019-11-05,23118.7891,2020-05-07,19468.5195,7.4673,-27257.69,-0.1579,184,108.9,108.9,0.0,-27475.49
11,2020-11-04,23619.5801,2021-05-07,29330.4492,6.155,35150.14,0.2418,184,108.9,108.9,7140.75,27791.59
12,2021-11-02,29462.4004,2022-05-06,26784.2891,6.1274,-16409.83,-0.0909,185,108.9,108.9,0.0,-16627.63
13,2022-11-02,27562.3008,2023-05-02,29278.8008,5.9544,10220.78,0.0623,181,108.9,108.9,2076.35,7926.63
14,2023-11-02,31987.0195,2024-05-02,38004.0117,5.4503,32794.35,0.1881,182,0.0,0.0,6662.17,26132.18
15,2024-11-05,38274.2188,2025-05-02,36636.5508,5.4118,-8862.75,-0.0428,178,0.0,0.0,0.0,-8862.75
16,2025-11-05,51291.3906,2025-12-30,50339.4805,3.8656,-3679.67,-0.0186,55,0.0,0.0,0.0,-3679.67
