trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-05,6013.8999,2011-05-04,6082.8999,16.6281,1147.34,0.0115,119,507.19,512.92,0.0,127.23
2,2011-11-02,5421.6001,2012-05-02,5812.2002,18.6564,7287.18,0.072,182,512.92,549.36,0.0,6224.89
3,2012-11-02,5861.8999,2013-05-02,6451.2998,18.4982,10902.83,0.1005,181,549.36,603.87,54.51,9695.08
4,2013-11-04,6734.7002,2014-05-02,6808.8999,17.7198,1314.8,0.011,179,603.87,610.45,0.0,100.48
5,2014-11-04,6488.0,2015-05-05,6986.0,18.5962,9260.91,0.0768,182,610.45,656.75,0.0,7993.71
6,2015-11-03,6361.7998,2016-05-04,6185.6001,20.4208,-3598.14,-0.0277,183,656.75,638.76,0.0,-4893.66
7,2016-11-02,6917.1001,2017-05-03,7250.1001,18.2613,6081.0,0.0481,182,638.76,669.17,0.0,4773.07
8,2017-11-02,7488.0,2018-05-02,7520.3999,17.6811,572.87,0.0043,181,669.17,672.03,0.0,-768.33
9,2018-11-02,7114.7002,2019-05-02,7385.2998,18.6893,5057.32,0.038,181,672.03,697.32,0.0,3687.97
10,2019-11-04,7302.3999,2020-05-04,5763.1001,18.9015,-29095.03,-0.2108,182,697.32,551.84,0.0,-30344.19
11,2020-11-03,5655.0,2021-05-05,6923.2002,19.2628,24429.07,0.2243,183,551.84,673.99,2425.81,20777.43
12,2021-11-02,7288.6001,2022-05-04,7561.2998,18.2971,4989.61,0.0374,183,673.99,698.94,0.0,3616.68
13,2022-11-02,7186.2002,2023-05-03,7773.0,19.2521,11297.15,0.0817,182,698.94,755.42,0.0,9842.79
14,2023-11-02,7342.3999,2024-05-02,8121.2002,20.3812,15872.88,0.1061,182,755.42,834.79,714.58,13568.1
15,2024-11-04,8177.2002,2025-05-02,8496.7998,20.2416,6469.21,0.0391,179,834.79,867.13,832.61,3934.68
16,2025-11-04,9701.4004,2025-12-30,9940.7002,17.7283,4242.37,0.0247,56,867.13,888.34,298.17,2188.72
