trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-04,1272.95,2011-05-03,1359.76,78.5577,6819.6,0.0682,119,10.95,11.09,1704.9,5092.66
2,2011-11-02,1219.62,2012-05-02,1405.5,87.5843,16280.18,0.1524,182,11.09,11.41,4070.04,12187.63
3,2012-11-02,1427.59,2013-05-02,1582.77,86.2291,13381.03,0.1087,181,11.41,11.68,3345.26,10012.68
4,2013-11-04,1763.4,2014-05-02,1885.3,77.3964,9434.62,0.0691,179,11.68,11.87,2358.66,7052.42
5,2014-11-04,2015.8101,2015-05-04,2110.23,72.3855,6834.63,0.0468,181,11.87,12.01,1708.66,5102.1
6,2015-11-03,2102.6299,2016-05-03,2077.1799,72.6471,-1848.87,-0.0121,182,12.01,11.97,0.0,-1872.84
7,2016-11-02,2109.4299,2017-05-02,2391.05,71.5365,20146.11,0.1335,181,11.97,8.37,5036.53,15089.25
8,2017-11-02,2579.46,2018-05-02,2654.24,66.3113,4958.76,0.029,181,8.37,8.47,1190.1,3751.82
9,2018-11-02,2745.45,2019-05-02,2922.1599,64.1083,11328.57,0.0644,181,8.47,8.7,2718.86,8592.55
10,2019-11-04,3078.96,2020-05-04,2815.01,60.8435,-16059.63,-0.0857,182,3.75,3.43,0.0,-16066.81
11,2020-11-03,3336.25,2021-05-04,4179.04,51.3376,43266.8,0.2526,182,3.43,4.29,10384.03,32875.05
12,2021-11-02,4613.3398,2022-05-03,4159.7798,46.5047,-21092.66,-0.0983,182,4.29,3.87,0.0,-21100.82
13,2022-11-02,3852.8999,2023-05-02,4164.1001,50.2087,15624.96,0.0808,181,3.87,4.18,3749.99,11866.92
14,2023-11-02,4268.2598,2024-05-02,5049.3198,48.9835,38259.02,0.183,182,4.18,4.95,9182.17,29067.73
15,2024-11-04,5725.1499,2025-05-02,5645.8799,43.2012,-3424.56,-0.0138,179,4.95,4.88,0.0,-3434.38
16,2025-11-04,6788.52,2025-12-30,6896.2402,35.9296,3870.34,0.0159,56,4.88,4.96,928.88,2931.63
