trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-01-17,4904.5,2012-09-17,5631.75,20.3894,14828.22,0.1483,244,123.6,138.43,2224.23,12341.96
2,2013-08-07,5549.2998,2013-09-20,6104.5498,20.6924,11489.44,0.1001,44,138.43,149.92,1723.42,9477.68
3,2015-05-08,8131.5,2016-07-12,8502.5996,15.5344,5764.8,0.0456,431,149.92,155.68,0.0,5459.2
4,2016-11-22,7989.1499,2017-02-07,8805.7002,16.5327,13499.81,0.1022,77,155.68,169.18,2024.97,11149.97
5,2018-03-26,9989.1504,2018-07-11,10956.4004,14.574,14096.74,0.0968,107,169.18,183.28,0.0,13744.28
6,2018-10-08,10310.1504,2019-03-20,11553.3496,15.4876,19254.11,0.1206,163,183.28,202.53,0.0,18868.3
7,2019-08-06,10815.4004,2019-11-01,11886.5996,16.5443,17722.23,0.099,87,202.53,220.26,0.0,17299.44
8,2020-03-09,10742.0498,2020-11-06,12156.6504,18.3071,25897.18,0.1317,242,220.26,246.15,0.0,25430.77
9,2021-12-21,16773.1504,2022-01-13,18257.0,13.2684,19688.28,0.0885,23,246.15,265.84,0.0,19176.29
10,2022-02-25,16515.6504,2022-11-01,18130.6992,14.6673,23688.48,0.0978,249,265.84,289.53,0.0,23133.11
11,2024-11-14,23542.1504,2025-10-10,25167.6504,11.2959,18361.45,0.069,330,289.53,307.89,0.0,17764.03
