trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-01-16,8409.79,2012-03-21,10100.8701,11.8909,20108.47,0.2011,65,108.9,108.9,4085.04,15805.63
2,2012-05-08,9190.5,2012-12-20,10093.1104,13.0688,11796.0,0.0982,226,108.9,108.9,2396.36,9181.84
3,2013-05-31,13804.2305,2013-11-22,15513.4502,9.5554,16332.22,0.1238,175,108.9,108.9,3317.89,12796.53
4,2014-02-04,14353.3301,2014-09-19,16177.9404,10.3277,18844.0,0.1271,227,108.9,108.9,3828.16,14798.04
5,2014-10-20,14822.8398,2014-11-04,16732.8496,11.2718,21529.33,0.1289,15,108.9,108.9,4373.68,16937.84
6,2015-08-25,18171.6602,2016-12-19,19345.8398,10.3793,12187.22,0.0646,482,108.9,108.9,2475.83,9493.59
7,2018-02-07,22001.2891,2018-09-20,23752.7891,9.1266,15985.26,0.0796,225,108.9,108.9,3247.41,12520.06
8,2018-10-26,21440.8398,2019-10-29,22950.7891,10.1107,15266.69,0.0704,368,108.9,108.9,3101.43,11947.46
9,2020-03-02,20849.7891,2020-10-09,23713.8594,11.1296,31875.87,0.1374,221,108.9,108.9,6475.58,25182.49
10,2021-07-21,27747.0605,2021-09-08,29819.5508,9.5118,19713.16,0.0747,49,108.9,108.9,4004.73,15490.63
11,2021-10-07,27665.9707,2023-04-19,28619.8398,10.2522,9779.3,0.0345,559,108.9,108.9,1986.66,7574.83
12,2024-07-26,37792.8711,2025-07-25,41760.5781,7.7638,30804.61,0.105,364,0.0,0.0,6257.96,24546.66
