trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-08-02,6756.1602,2016-02-02,9721.1797,14.8013,43886.16,0.4389,1279,1.0,1.0,11363.71,32520.45
2,2016-09-02,10570.7002,2016-11-02,10443.5195,13.6118,-1731.16,-0.012,61,1.0,1.0,0.0,-1733.16
3,2017-01-03,11631.7002,2018-04-04,12000.4697,12.2213,4506.86,0.0317,456,1.0,1.0,977.42,3527.44
4,2018-05-03,12775.6602,2018-07-03,12321.0703,11.4798,-5218.59,-0.0356,61,1.0,1.0,0.0,-5220.59
5,2018-08-02,12617.6299,2018-10-02,12229.0703,11.21,-4355.74,-0.0308,61,1.0,1.0,0.0,-4357.74
6,2019-07-02,12546.9297,2019-08-02,12033.6797,10.926,-5607.76,-0.0409,31,1.0,1.0,0.0,-5609.76
7,2019-10-02,12221.7402,2020-04-02,9587.4502,10.7579,-28339.32,-0.2155,183,1.0,1.0,0.0,-28341.32
8,2020-06-03,12147.1201,2020-07-02,12378.7998,8.4909,1967.18,0.0191,29,1.0,1.0,307.58,1657.6
9,2020-08-04,12744.1299,2020-11-03,11858.8096,8.2475,-7301.71,-0.0695,91,1.0,1.0,0.0,-7303.71
10,2020-12-02,13341.9102,2022-03-02,13836.9297,7.3307,3628.85,0.0371,455,1.0,1.0,745.85,2881.01
11,2023-03-02,15171.0703,2025-12-30,24490.4102,6.6861,62309.72,0.6143,1034,1.0,1.0,16170.44,46137.28
