trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-09-04,5249.1499,2014-02-04,5947.6001,19.0507,13305.97,0.1331,518,123.6,136.91,0.0,13045.46
2,2014-03-04,6216.75,2015-09-02,7856.6499,18.2259,29888.68,0.2638,547,136.91,166.79,0.0,29584.98
3,2015-10-05,8005.1001,2015-12-02,7976.7002,17.8879,-508.02,-0.0035,58,166.79,166.29,0.0,-841.1
4,2016-08-02,8647.4502,2019-02-04,10876.75,16.5004,36784.4,0.2578,916,166.29,203.07,0.0,36415.04
5,2019-03-05,10864.8496,2019-08-02,10930.2998,16.5185,1081.14,0.006,150,203.07,204.15,0.0,673.92
6,2019-11-04,11928.9004,2020-04-03,8356.5498,15.1357,-54070.0,-0.2995,151,204.15,150.08,0.0,-54424.24
7,2020-09-02,11478.5498,2020-10-05,11487.7998,11.019,101.93,0.0008,33,150.08,150.18,0.0,-198.34
8,2020-12-02,13121.4004,2022-07-04,15710.5,9.6471,24977.43,0.1973,579,150.18,175.16,0.0,24652.08
9,2022-08-02,17310.1504,2022-10-04,17147.4492,8.7556,-1424.55,-0.0094,63,175.16,173.74,0.0,-1773.45
10,2022-12-02,18752.4004,2025-03-04,21974.4492,8.0063,25796.63,0.1718,823,173.74,199.53,0.0,25423.36
11,2025-04-02,23192.5996,2025-08-04,24596.0508,7.5858,10646.25,0.0605,124,199.53,210.18,0.0,10236.54
12,2025-11-04,25744.75,2025-12-30,25938.8496,7.2473,1406.7,0.0075,56,210.18,211.59,0.0,984.93
