trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-04-03,10082.21,2012-05-02,9397.8701,9.9185,-6787.6,-0.0679,29,108.9,108.9,0.0,-7005.4
2,2012-10-02,8826.3604,2014-06-03,15089.04,10.5607,66138.18,0.7095,609,108.9,108.9,13435.97,52484.41
3,2014-07-02,15406.2305,2016-03-02,16391.4805,10.3433,10190.69,0.064,609,108.9,108.9,2070.24,7902.65
4,2017-01-05,19602.0996,2018-11-02,21761.5801,8.6491,18677.65,0.1102,666,108.9,108.9,3794.36,14665.48
5,2018-12-04,22533.9707,2019-01-07,19944.6094,8.3527,-21628.09,-0.1149,34,108.9,108.9,0.0,-21845.89
6,2019-11-05,23118.7891,2020-04-02,17934.4199,7.2059,-37357.85,-0.2242,149,108.9,108.9,0.0,-37575.65
7,2020-06-02,22175.5195,2022-02-02,27302.9902,5.8277,29881.52,0.2312,610,108.9,108.9,6070.43,23593.29
8,2022-08-02,27812.4805,2022-10-04,26653.4902,5.721,-6630.55,-0.0417,63,108.9,108.9,0.0,-6848.35
9,2023-03-02,27564.8203,2025-03-04,37532.0117,5.5318,55136.82,0.3616,733,108.9,0.0,11201.05,43826.88
10,2025-07-02,39631.1719,2025-12-30,50339.4805,5.2388,56098.95,0.2702,181,0.0,0.0,11396.5,44702.45
