trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-03-02,5931.2998,2012-04-03,5874.8999,16.8597,-950.89,-0.0095,32,507.19,502.43,0.0,-1960.51
2,2012-09-04,5758.3999,2014-11-04,6488.0,17.2008,12549.71,0.1267,791,502.43,565.18,350.95,11131.15
3,2014-12-02,6656.3999,2015-01-05,6547.7998,16.7656,-1820.75,-0.0163,34,565.18,556.08,0.0,-2942.01
4,2015-02-03,6782.6001,2015-07-02,6608.6001,16.1852,-2816.23,-0.0257,149,556.08,542.0,0.0,-3914.31
5,2015-08-04,6688.6001,2015-09-02,6058.5,15.9917,-10076.35,-0.0942,29,542.0,491.62,0.0,-11109.96
6,2016-08-02,6694.0,2018-03-02,7175.6001,14.4735,6970.43,0.0719,577,491.62,526.47,0.0,5952.35
7,2018-05-02,7520.3999,2018-11-02,7114.7002,13.8099,-5602.67,-0.0539,184,526.47,498.45,0.0,-6627.59
8,2019-03-04,7106.7002,2019-05-02,7385.2998,13.8254,3851.76,0.0392,59,498.45,517.71,0.0,2835.59
9,2019-08-02,7584.8999,2019-09-03,7281.8999,13.4616,-4078.87,-0.0399,32,517.71,497.32,0.0,-5093.9
10,2019-11-04,7302.3999,2020-03-03,6654.8999,13.4238,-8691.93,-0.0887,120,497.32,453.86,0.0,-9643.1
11,2021-03-02,6588.5,2022-09-02,7148.5,13.5591,7593.1,0.085,549,453.86,491.82,0.0,6647.42
12,2022-12-02,7558.5,2023-06-02,7490.2998,12.8236,-874.57,-0.009,182,491.82,487.45,0.0,-1853.85
13,2023-07-04,7527.2998,2023-12-04,7529.3999,12.7606,26.8,0.0003,153,487.45,487.59,0.0,-948.24
14,2024-01-03,7721.5,2024-02-02,7622.2002,12.4431,-1235.6,-0.0129,30,487.59,481.41,0.0,-2204.59
15,2024-04-03,7935.1001,2025-12-30,9940.7002,11.9525,23971.85,0.2528,636,481.41,601.27,5033.24,17855.93
