trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-03-11,7002.2598,2011-04-05,7174.6899,14.2811,2462.49,0.0246,25,1.0,1.0,438.22,2022.27
2,2011-05-27,7205.1299,2011-07-06,7443.9302,14.2208,3395.92,0.0331,40,1.0,1.0,684.41,2709.51
3,2011-08-03,6717.8398,2011-10-14,5934.7798,15.7578,-12339.31,-0.1166,72,1.0,1.0,0.0,-12341.31
4,2011-11-24,5512.7598,2012-01-05,6121.3398,16.9641,10324.02,0.1104,42,1.0,1.0,2511.7,7810.33
5,2012-04-11,6628.6602,2012-06-22,6273.1001,15.6658,-5570.13,-0.0536,72,1.0,1.0,0.0,-5572.13
6,2013-04-08,7669.04,2013-05-07,8125.8198,12.8143,5853.29,0.0596,29,1.0,1.0,1332.54,4518.75
7,2013-06-24,7776.8799,2013-07-15,8237.9199,13.3892,6172.96,0.0593,21,1.0,1.0,1416.86,4754.11
8,2014-02-05,9105.2803,2014-02-24,9619.6396,12.1138,6230.83,0.0565,19,1.0,1.0,1432.12,4796.71
9,2014-03-14,8939.1797,2014-04-03,9620.8701,13.0359,8886.44,0.0763,20,1.0,1.0,2132.53,6751.9
10,2014-08-04,9222.0498,2014-08-28,9545.21,13.5996,4394.86,0.035,24,1.0,1.0,947.88,3444.98
11,2014-10-06,9341.0498,2014-11-05,9238.0703,13.8969,-1431.09,-0.011,30,1.0,1.0,0.0,-1433.09
12,2015-05-04,11506.8398,2015-07-21,11760.0,11.1569,2824.47,0.022,78,1.0,1.0,533.69,2288.78
13,2015-08-21,10228.7002,2015-10-19,10084.6104,12.8271,-1848.26,-0.0141,59,1.0,1.0,0.0,-1850.26
14,2015-12-17,10685.2998,2016-03-03,9807.0596,12.106,-10632.0,-0.0822,77,1.0,1.0,0.0,-10634.0
15,2016-05-13,9794.8301,2016-07-18,10079.0303,12.1211,3444.83,0.029,66,1.0,1.0,697.31,2745.52
16,2017-07-10,12464.96,2017-09-14,12524.1201,9.801,579.83,0.0047,66,1.0,1.0,0.0,577.83
17,2017-11-23,12943.4902,2018-01-22,13435.1396,9.4835,4662.54,0.038,60,1.0,1.0,1018.48,3642.06
18,2018-02-06,12232.8604,2018-04-18,12597.5801,10.4155,3798.75,0.0298,71,1.0,1.0,790.66,3006.09
19,2018-06-27,12247.75,2018-07-19,12740.6797,10.713,5280.77,0.0402,22,1.0,1.0,1181.54,4097.23
20,2018-08-16,12202.1299,2018-09-26,12395.2002,11.1859,2159.66,0.0158,41,1.0,1.0,358.35,1799.31
21,2018-10-12,11691.4697,2019-01-21,11176.1201,11.8591,-6111.61,-0.0441,101,1.0,1.0,0.0,-6113.61
22,2019-08-06,11690.2695,2019-09-05,12117.9004,11.3376,4848.3,0.0366,30,1.0,1.0,1067.47,3778.82
23,2019-10-04,11958.3096,2019-10-24,12860.6299,11.4889,10366.65,0.0755,20,1.0,1.0,2522.94,7841.71
24,2019-12-03,13039.6104,2020-01-27,13374.9902,11.3312,3800.25,0.0257,55,1.0,1.0,791.05,3007.2
25,2020-02-26,12682.1602,2020-04-08,10301.5596,11.9502,-28448.68,-0.1877,42,1.0,1.0,0.0,-28450.68
26,2020-09-28,12673.7305,2020-10-12,13086.0596,9.7135,4005.14,0.0325,14,1.0,1.0,845.09,3158.05
27,2020-10-28,11848.3096,2020-11-17,13130.54,10.7282,13756.02,0.1082,20,1.0,1.0,3416.89,10337.13
28,2021-09-21,15265.0303,2021-10-27,15725.4004,9.2281,4248.33,0.0302,36,1.0,1.0,909.23,3337.1
29,2021-11-29,15418.2803,2022-01-06,16076.1602,9.4119,6191.9,0.0427,38,1.0,1.0,1421.85,4768.05
30,2022-01-25,15139.0703,2022-03-28,14376.0,9.9945,-7626.49,-0.0504,62,1.0,1.0,0.0,-7628.49
31,2022-06-17,13092.8496,2022-08-03,13398.7002,10.974,3356.4,0.0234,47,1.0,1.0,673.99,2680.41
32,2022-08-29,12838.4199,2022-10-20,12685.1602,11.4529,-1755.27,-0.0119,52,1.0,1.0,0.0,-1757.27
33,2023-07-07,15515.0,2023-07-27,16162.1602,9.364,6059.98,0.0417,20,1.0,1.0,1334.57,4723.41
34,2023-08-17,15712.9404,2023-11-10,15296.5801,9.6317,-4010.24,-0.0265,85,1.0,1.0,0.0,-4012.24
35,2024-04-19,17834.8301,2024-05-10,18686.8496,8.2609,7038.44,0.0478,21,1.0,1.0,1592.64,5443.8
36,2024-06-05,18406.0605,2024-08-23,18538.8691,8.3869,1113.85,0.0072,79,1.0,1.0,30.03,1081.82
37,2025-01-02,19923.0703,2025-01-17,20732.0391,7.8042,6313.36,0.0406,15,1.0,1.0,1401.4,4909.96
38,2025-04-07,18751.75,2025-04-30,22520.4902,8.6284,32518.12,0.201,23,1.0,1.0,8312.9,24203.22
39,2025-06-20,23197.1191,2025-07-10,24638.5801,8.3767,12074.69,0.0621,20,1.0,1.0,2920.95,9151.74
40,2025-09-03,23606.6895,2025-10-07,24400.7695,8.7429,6942.53,0.0336,34,1.0,1.0,1567.34,5373.19
41,2025-11-10,23925.3594,2025-12-09,24094.9902,8.9166,1512.53,0.0071,29,1.0,1.0,135.18,1375.35
