trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-01-21,5692.0498,2011-04-01,5835.0,17.5684,2511.4,0.0251,70,123.6,126.11,376.71,1884.98
2,2011-05-06,5477.6499,2011-07-08,5734.6499,18.7145,4809.62,0.0469,63,126.11,130.92,721.44,3831.15
3,2011-08-08,5083.8501,2011-10-28,5341.8999,21.1102,5447.48,0.0508,81,130.92,136.37,817.12,4363.07
4,2011-11-21,4873.7998,2012-01-12,4840.9502,23.1377,-760.06,-0.0067,52,136.37,135.61,0.0,-1032.04
5,2012-03-09,5294.1001,2012-06-13,5117.5498,21.1572,-3735.31,-0.0333,96,135.61,131.87,0.0,-4002.79
6,2012-07-26,5126.2998,2012-08-13,5316.3501,21.1211,4014.07,0.0371,18,131.87,135.89,602.11,3144.2
7,2013-02-08,5929.1001,2013-04-29,5877.6001,18.9383,-975.32,-0.0087,80,135.89,134.91,0.0,-1246.12
8,2013-06-07,5900.0498,2013-07-15,5991.2002,18.8663,1719.67,0.0154,38,134.91,136.63,257.95,1190.17
9,2013-08-02,5750.0498,2013-09-12,5931.1499,19.6575,3559.97,0.0315,41,136.63,140.19,534.0,2749.15
10,2013-11-25,6035.9502,2013-12-12,6276.75,19.3162,4651.33,0.0399,17,140.19,144.84,697.7,3668.6
11,2014-02-04,5947.6001,2014-02-28,6228.4502,20.3852,5725.18,0.0472,24,144.84,150.57,858.78,4570.99
12,2014-10-17,7733.75,2014-11-03,8348.1504,16.4174,10086.85,0.0794,17,150.57,160.65,1513.03,8262.6
13,2014-12-15,8160.75,2015-01-27,8871.3496,16.7944,11934.09,0.0871,43,160.65,172.59,1790.11,9810.73
14,2015-03-24,8537.0498,2015-06-02,8442.7998,17.452,-1644.86,-0.011,70,172.59,170.94,0.0,-1988.39
15,2015-06-09,8026.5,2015-06-29,8247.0498,18.3572,4048.68,0.0275,20,170.94,174.99,607.3,3095.44
16,2015-08-25,7895.3999,2015-10-15,8134.3501,19.1748,4581.82,0.0303,51,174.99,179.57,687.27,3539.98
17,2015-11-06,7956.5498,2016-03-09,7436.1001,19.6033,-10202.53,-0.0654,124,179.57,169.37,0.0,-10551.48
18,2016-09-30,8581.5,2016-12-12,8230.6504,16.9868,-5959.81,-0.0409,73,169.37,163.41,0.0,-6292.59
19,2017-06-29,9522.9502,2017-07-14,9913.2998,14.6816,5730.96,0.041,15,163.41,169.14,859.64,4538.76
20,2017-08-23,9803.0498,2017-09-13,10099.25,14.8467,4397.6,0.0302,21,169.14,173.54,659.64,3395.28
21,2018-02-15,10537.9004,2018-04-17,10557.2998,14.2287,276.03,0.0018,61,173.54,173.82,0.0,-71.33
22,2018-09-19,11326.6504,2018-11-16,10644.0,13.2623,-9053.48,-0.0603,58,173.82,164.76,0.0,-9392.06
23,2019-05-13,11258.7002,2019-05-31,11999.7998,12.5382,9292.03,0.0658,18,164.76,174.06,0.0,8953.21
24,2019-06-25,11681.0,2019-09-25,11564.8496,12.8804,-1496.06,-0.0099,92,174.06,172.56,0.0,-1842.67
25,2020-02-03,11627.4502,2020-04-29,9408.5996,12.811,-28425.71,-0.1908,86,172.56,144.13,0.0,-28742.41
26,2020-09-25,10910.4004,2020-10-13,11934.6504,11.0476,11315.5,0.0939,18,144.13,155.45,0.0,11015.91
27,2021-03-25,14570.9004,2021-05-26,15257.0498,9.0488,6208.83,0.0471,62,155.45,161.66,0.0,5891.72
28,2021-11-29,17055.8008,2022-01-10,17913.3008,8.0945,6941.02,0.0503,42,161.66,168.6,0.0,6610.77
29,2022-02-08,17279.8496,2022-03-29,17297.1992,8.3912,145.58,0.001,49,168.6,168.74,0.0,-191.76
30,2022-05-12,16021.0996,2022-07-07,16113.75,9.0596,839.37,0.0058,56,168.74,169.58,0.0,501.05
31,2022-09-29,16993.5996,2022-10-25,17808.3008,8.5905,6998.71,0.0479,26,169.58,176.58,0.0,6652.54
32,2022-12-22,18288.8008,2023-02-17,17974.8496,8.3648,-2626.15,-0.0172,57,176.58,173.96,0.0,-2976.69
33,2023-03-01,17360.0996,2023-04-10,17634.9004,8.661,2380.06,0.0158,40,173.96,176.34,0.0,2029.77
34,2023-10-05,19521.8496,2023-11-17,19674.75,7.8239,1196.27,0.0078,43,176.34,177.53,0.0,842.4
35,2024-10-17,25027.4004,2024-12-06,24729.4492,6.1506,-1832.57,-0.0119,50,177.53,175.7,0.0,-2185.8
36,2024-12-27,23801.4004,2025-03-24,23515.4004,6.3904,-1827.65,-0.012,87,175.7,173.87,0.0,-2177.23
37,2025-07-18,25108.5508,2025-09-17,25276.5996,5.9849,1005.76,0.0067,61,173.87,174.88,0.0,657.01
