trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-03-15,9441.6602,2011-04-06,9668.1104,10.5914,2398.42,0.024,22,108.9,108.9,487.24,1693.38
2,2011-05-26,9499.4502,2011-07-07,10047.1504,10.7794,5903.88,0.0577,42,108.9,108.9,1199.37,4486.71
3,2011-08-08,9169.6699,2012-01-30,8803.79,11.8109,-4321.38,-0.0399,175,108.9,108.9,0.0,-4539.18
4,2012-04-09,9565.3096,2012-07-03,9013.6504,10.8706,-5996.88,-0.0577,85,108.9,108.9,0.0,-6214.68
5,2012-07-23,8582.2803,2012-08-15,8960.2803,11.417,4315.63,0.044,23,108.9,108.9,876.72,3221.11
6,2012-09-06,8690.3398,2012-11-01,8931.71,11.7717,2841.33,0.0278,56,108.9,108.9,577.22,2046.31
7,2012-11-15,8703.8203,2012-11-28,9375.4805,12.0799,8113.57,0.0772,13,108.9,108.9,1648.27,6247.49
8,2013-06-06,12925.29,2013-07-04,13970.2695,8.7622,9156.37,0.0808,28,108.9,108.9,1860.12,7078.45
9,2013-08-23,13583.7598,2013-09-11,14511.7402,9.0116,8362.56,0.0683,19,108.9,108.9,1698.85,6445.9
10,2014-02-05,14213.0996,2014-04-07,14880.8203,9.2009,6143.64,0.047,61,108.9,108.9,1248.08,4677.76
11,2014-10-14,15036.8701,2014-11-05,16785.4395,9.1054,15921.47,0.1163,22,108.9,108.9,3234.45,12469.22
12,2015-06-19,20152.4102,2015-10-21,18167.6406,7.5841,-15052.76,-0.0985,124,108.9,108.9,0.0,-15270.56
13,2015-12-15,18869.0391,2016-03-04,16927.3594,7.3022,-14178.57,-0.1029,80,108.9,108.9,0.0,-14396.37
14,2016-04-05,16044.2305,2016-04-26,17358.5605,7.7042,10125.8,0.0819,21,108.9,108.9,2057.06,7850.95
15,2016-06-17,15631.79,2016-07-15,16396.1191,8.5552,6538.99,0.0489,28,108.9,108.9,1328.4,4992.79
16,2017-04-03,18988.0,2017-04-27,19205.5898,7.3874,1607.42,0.0115,24,108.9,108.9,326.55,1063.08
17,2017-08-23,19547.0508,2017-09-20,20301.3301,7.2584,5474.83,0.0386,28,108.9,108.9,1112.21,4144.82
18,2018-02-06,22267.0,2018-04-13,21801.4102,6.6176,-3081.09,-0.0209,66,108.9,108.9,0.0,-3298.89
19,2018-06-04,22365.0898,2018-07-23,22480.3301,6.4508,743.39,0.0052,49,108.9,108.9,151.02,374.57
20,2018-10-16,22298.1992,2019-01-22,20770.0605,6.5035,-9938.27,-0.0685,98,108.9,108.9,0.0,-10156.07
21,2019-05-14,20870.7695,2019-06-21,21487.6699,6.4721,3992.66,0.0296,38,108.9,108.9,811.11,2963.75
22,2019-08-09,20758.1504,2019-09-11,21466.6602,6.6996,4746.72,0.0341,33,108.9,108.9,964.3,3564.63
23,2019-10-08,21494.4805,2019-10-25,22753.2402,6.6909,8422.25,0.0586,17,108.9,108.9,1710.98,6493.47
24,2020-02-04,22881.1309,2020-05-27,21249.3105,6.6535,-10857.34,-0.0713,113,108.9,108.9,0.0,-11075.14
25,2021-05-14,27723.6992,2021-06-03,28890.3906,5.0997,5949.78,0.0421,20,108.9,108.9,1208.7,4523.28
26,2021-07-21,27747.0605,2021-09-06,29501.2207,5.3098,9314.31,0.0632,47,108.9,108.9,1892.2,7204.31
27,2021-10-05,28050.3906,2021-10-27,29056.0098,5.5845,5615.86,0.0359,22,108.9,108.9,1140.86,4257.19
28,2021-12-01,27866.7305,2022-03-29,28173.4297,5.8228,1785.85,0.011,118,108.9,108.9,362.8,1205.25
29,2022-04-13,26436.0605,2022-06-02,27340.5195,6.2055,5612.6,0.0342,50,108.9,108.9,1140.2,4254.6
30,2022-06-21,26070.9199,2022-07-25,27697.7695,6.5077,10587.01,0.0624,34,108.9,108.9,2150.75,8218.46
31,2022-09-07,27546.0098,2022-11-04,27371.8906,6.5435,-1139.35,-0.0063,58,108.9,108.9,0.0,-1357.15
32,2022-12-21,26547.1699,2023-01-26,27444.6406,6.7468,6055.06,0.0338,36,108.9,108.9,1230.09,4607.18
33,2023-08-22,31792.5996,2023-09-07,33118.5508,5.8241,7722.49,0.0417,16,108.9,108.9,1568.82,5935.87
34,2023-10-05,30733.6504,2023-11-16,33399.5898,6.2761,16731.6,0.0867,42,0.0,0.0,3399.02,13332.57
35,2024-04-17,38587.4688,2024-07-04,40747.5898,5.4323,11734.38,0.056,78,0.0,0.0,2383.84,9350.54
36,2024-07-26,37792.8711,2024-08-27,38066.3086,5.857,1601.52,0.0072,32,0.0,0.0,325.35,1276.17
37,2024-09-10,36386.1211,2024-09-30,39117.8281,6.1274,16738.37,0.0751,20,0.0,0.0,3400.4,13337.97
38,2025-03-03,37617.5,2025-04-28,35962.8008,6.3718,-10543.45,-0.044,56,0.0,0.0,0.0,-10543.45
