trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-03-11,5845.2998,2011-04-05,6017.0,17.1078,2937.41,0.0294,25,507.19,521.88,0.0,1908.34
2,2011-06-21,5693.3999,2011-07-06,6024.0,18.0801,5977.29,0.0581,15,521.88,551.76,0.0,4903.66
3,2011-08-05,5393.1001,2011-10-24,5488.7002,20.1952,1930.66,0.0177,80,551.76,561.41,0.0,817.49
4,2011-11-24,5139.7998,2011-12-12,5529.2002,21.5661,8397.84,0.0758,18,561.41,603.4,0.0,7233.02
5,2012-04-11,5595.6001,2012-06-22,5566.3999,21.3102,-622.26,-0.0052,72,603.4,600.29,0.0,-1825.96
6,2012-08-31,5719.5,2012-09-25,5838.7998,20.7397,2474.25,0.0209,25,600.29,612.66,0.0,1261.29
7,2013-04-08,6249.7998,2013-05-08,6557.2998,19.3759,5958.07,0.0492,30,612.66,642.45,0.0,4702.96
8,2013-06-12,6340.1001,2013-07-12,6543.3999,20.0396,4074.05,0.0321,30,642.45,662.82,0.0,2768.77
9,2013-08-22,6390.7998,2013-09-20,6625.3999,20.5181,4813.56,0.0367,29,662.82,686.89,0.0,3463.84
10,2013-10-07,6453.8999,2013-10-22,6654.2002,21.0634,4219.0,0.031,15,686.89,707.99,0.0,2824.12
11,2013-12-05,6510.0,2013-12-30,6750.8999,21.5299,5186.56,0.037,25,707.99,733.92,0.0,3744.65
12,2014-01-28,6550.7002,2014-02-19,6796.3999,22.1879,5451.57,0.0375,22,733.92,761.18,0.0,3956.47
13,2014-03-14,6553.7998,2014-05-07,6798.6001,23.0092,5632.67,0.0374,54,761.18,789.34,0.0,4082.15
14,2014-08-11,6567.3999,2014-08-28,6830.7002,23.8193,6271.62,0.0401,17,789.34,820.7,0.0,4661.58
15,2014-09-24,6676.1001,2014-11-06,6539.1001,24.3709,-3338.81,-0.0205,43,820.7,804.01,0.0,-4963.51
16,2014-12-12,6461.7002,2015-01-26,6832.7998,24.6628,9152.35,0.0574,45,804.01,849.77,0.0,7498.57
17,2015-06-10,6753.7998,2015-10-13,6371.2002,24.9513,-9546.34,-0.0566,125,849.77,802.04,0.0,-11198.15
18,2015-11-13,6178.7002,2015-12-03,6420.8999,25.7286,6231.47,0.0392,20,802.04,833.19,0.0,4596.24
19,2015-12-11,6088.1001,2016-03-03,6147.1001,27.1351,1600.97,0.0097,83,833.19,841.2,0.0,-73.42
20,2016-05-05,6112.0,2016-07-05,6522.2998,27.2909,11197.45,0.0671,61,841.2,897.18,0.0,9459.06
21,2016-09-02,6746.0,2016-10-04,6983.5,26.3859,6266.65,0.0352,32,897.18,928.52,0.0,4440.95
22,2016-11-04,6790.5,2016-12-12,6954.2002,27.1359,4442.14,0.0241,38,928.52,950.73,0.0,2562.9
23,2017-02-01,7099.2002,2017-02-20,7300.0,26.5816,5337.58,0.0283,19,950.73,977.42,0.0,3409.44
24,2017-04-20,7114.3999,2017-05-10,7342.2002,27.2751,6213.27,0.032,20,977.42,1008.48,0.0,4227.37
25,2017-06-30,7350.2998,2017-10-05,7467.6001,27.245,3195.85,0.016,97,1008.48,1024.46,0.0,1162.9
26,2017-11-23,7419.0,2017-12-21,7525.2002,27.4235,2912.38,0.0143,28,1024.46,1039.02,0.0,848.89
27,2018-02-01,7533.6001,2018-04-16,7264.6001,27.3929,-7368.69,-0.0357,74,1039.02,1002.18,0.0,-9409.9
28,2018-08-30,7563.2002,2018-09-27,7511.5,26.3114,-1360.31,-0.0068,28,1002.18,995.38,0.0,-3357.87
29,2018-10-12,7006.8999,2019-02-07,7173.1001,28.2062,4687.88,0.0237,118,995.38,1018.82,0.0,2673.68
30,2019-05-10,7207.3999,2019-06-19,7443.0,28.072,6613.77,0.0327,40,1018.82,1051.89,0.0,4543.06
31,2019-08-06,7223.8999,2019-09-13,7344.7002,28.9234,3493.96,0.0167,38,1051.89,1069.36,0.0,1372.71
32,2019-10-04,7077.6001,2019-10-29,7331.2998,30.015,7614.79,0.0358,25,1069.36,1107.43,0.0,5438.0
33,2020-02-03,7286.0,2020-06-05,6341.3999,30.2016,-28528.41,-0.1296,123,1107.43,964.79,0.0,-30600.63
34,2020-08-03,5897.7998,2020-10-12,6016.7002,32.4732,3861.07,0.0202,70,964.79,984.09,0.0,1912.19
35,2020-10-29,5582.7998,2020-11-11,6296.8999,34.997,24991.37,0.1279,13,984.09,1109.05,2538.27,20359.95
36,2021-01-27,6654.0,2021-03-19,6779.7002,33.1188,4163.04,0.0189,51,1109.05,1129.87,0.0,1924.12
37,2021-09-21,6903.8999,2021-10-27,7277.6001,32.523,12153.86,0.0541,36,1129.87,1190.64,0.0,9833.36
38,2021-12-01,7059.5,2022-01-06,7516.8999,33.5278,15335.62,0.0648,36,1190.64,1267.31,607.12,12270.54
39,2022-03-08,6959.5,2022-03-25,7467.3999,36.2131,18392.64,0.073,17,1267.31,1359.28,1218.53,14547.52
40,2022-05-10,7216.6001,2022-07-26,7306.2998,37.4716,3361.2,0.0124,77,1359.28,1376.08,0.0,625.83
41,2022-09-01,7284.2002,2022-11-01,7094.5,37.5853,-7129.94,-0.026,61,1376.08,1340.43,0.0,-9846.46
42,2022-12-21,7370.6001,2023-01-10,7724.8999,36.1774,12817.64,0.0481,20,1340.43,1404.52,103.53,9969.16
43,2023-03-13,7748.3999,2023-04-11,7741.6001,36.0677,-245.25,-0.0009,29,1404.52,1403.3,0.0,-3053.07
44,2023-05-31,7522.1001,2023-07-27,7676.8999,37.1201,5746.19,0.0206,57,1403.3,1432.03,0.0,2910.87
45,2023-08-16,7389.6001,2023-09-11,7478.2002,38.5633,3416.72,0.012,26,1432.03,1449.11,0.0,535.58
46,2023-10-05,7412.5,2023-12-15,7649.0,38.9051,9201.07,0.0319,71,1449.11,1495.12,0.0,6256.84
47,2024-01-18,7446.2998,2024-02-07,7681.0,39.9642,9379.61,0.0315,20,1495.12,1542.01,0.0,6342.48
48,2024-05-30,8183.1001,2024-08-27,8327.7998,37.5121,5427.99,0.0177,89,1542.01,1569.15,0.0,2316.82
49,2024-11-07,8166.7002,2024-12-03,8312.9004,38.2521,5592.46,0.0179,26,1569.15,1597.12,622.19,1804.0
50,2024-12-23,8084.6001,2025-01-17,8391.9004,39.3322,12086.81,0.038,25,1597.12,1657.55,2180.83,6651.31
51,2025-04-07,8055.0,2025-04-30,8463.5,40.9773,16739.23,0.0507,23,1657.55,1741.25,3297.42,10043.02
