trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2011-06-09,1279.63,2011-07-05,1339.59,78.1476,4685.73,0.0469,26,10.95,11.04,1171.43,3492.3
2,2011-08-03,1254.25,2011-10-24,1238.72,83.4648,-1296.21,-0.0124,82,11.04,11.02,0.0,-1318.27
3,2011-11-25,1161.41,2012-01-06,1280.9301,89.0207,10639.75,0.1029,42,11.02,11.23,2659.94,7957.57
4,2012-05-16,1330.78,2012-08-13,1405.87,85.686,6434.16,0.0564,89,11.23,11.36,1608.54,4803.03
5,2012-10-25,1409.74,2012-12-06,1409.4301,85.4508,-26.48,-0.0002,42,11.36,11.36,0.0,-49.2
6,2013-08-22,1645.03,2013-09-18,1705.74,73.2126,4444.73,0.0369,27,11.36,11.45,1111.18,3310.74
7,2013-10-09,1656.99,2013-10-28,1759.42,75.3666,7719.8,0.0618,19,11.45,11.6,1929.95,5766.8
8,2014-02-05,1753.38,2014-02-25,1847.66,75.6262,7130.04,0.0538,20,11.6,11.74,1782.51,5324.18
9,2014-08-08,1910.35,2014-08-21,1986.8199,73.1445,5593.36,0.04,13,11.74,11.86,1398.34,4171.42
10,2014-10-15,1874.1801,2014-11-03,2018.21,77.5405,11168.15,0.0768,19,11.86,12.08,2792.04,8352.18
11,2014-12-15,2005.03,2015-02-19,2099.25,78.0502,7353.89,0.047,66,12.08,12.23,1838.47,5491.11
12,2015-03-12,2041.1,2015-07-21,2127.55,80.2738,6939.68,0.0424,131,12.23,12.37,1734.92,5180.17
13,2015-08-24,1965.15,2015-10-19,2031.73,86.9077,5786.31,0.0339,56,12.37,12.48,1446.58,4314.88
14,2016-01-08,1945.97,2016-03-02,1976.6,90.7377,2779.3,0.0157,54,12.48,12.54,694.82,2059.45
15,2016-06-28,2006.67,2016-07-18,2162.04,89.378,13886.66,0.0774,20,12.54,12.81,3471.67,10389.65
16,2016-09-12,2120.8601,2016-11-22,2201.5601,91.1134,7352.85,0.0381,71,12.81,12.96,1838.21,5488.86
17,2017-03-22,2343.0,2017-05-05,2392.3701,85.6132,4226.73,0.0211,44,8.96,9.05,1056.68,3152.04
18,2017-08-11,2441.04,2017-09-12,2491.9399,83.9062,4270.82,0.0209,32,9.05,9.13,1067.7,3184.94
19,2018-02-09,2601.78,2018-05-15,2718.5901,80.3639,9387.32,0.0449,95,9.13,9.32,2252.96,7115.91
20,2018-06-28,2698.6899,2018-07-17,2789.3401,80.9565,7338.72,0.0336,19,9.32,9.47,1761.29,5558.64
21,2018-10-11,2776.8701,2019-01-16,2614.75,81.3201,-13183.62,-0.0584,97,9.47,9.2,0.0,-13202.29
22,2019-05-14,2820.1201,2019-06-19,2920.55,75.3981,7572.23,0.0356,36,9.2,9.35,1817.33,5736.33
23,2019-08-06,2861.1799,2019-09-16,2996.4099,76.9626,10407.65,0.0473,41,9.35,9.56,2497.84,7890.9
24,2019-10-03,2885.3799,2019-10-29,3035.3899,79.9242,11989.42,0.052,26,9.56,4.85,2877.46,9097.55
25,2020-02-26,3139.8999,2020-04-13,2782.46,77.2639,-27617.21,-0.1138,47,4.85,4.3,0.0,-27626.37
26,2020-09-24,3226.1399,2020-10-14,3515.47,66.6381,19280.4,0.0897,20,4.3,4.69,4627.3,14644.12
27,2020-11-02,3296.2,2020-11-18,3612.0901,71.071,22450.62,0.0958,16,4.69,5.13,5388.15,17052.65
28,2021-09-21,4374.4502,2021-10-21,4532.2402,58.685,9259.92,0.0361,30,5.13,5.32,2222.38,7027.08
29,2022-01-19,4588.0298,2022-03-28,4541.0898,57.9714,-2721.18,-0.0102,68,5.32,5.27,0.0,-2731.76
30,2022-04-25,4255.3398,2022-07-11,3880.9399,61.8643,-23161.98,-0.088,77,5.27,4.8,0.0,-23172.05
31,2022-09-01,3936.73,2022-11-25,4023.3401,60.9876,5282.14,0.022,85,4.8,4.91,1267.71,4004.72
32,2022-12-21,3839.49,2023-01-27,4053.72,63.9079,13690.99,0.0558,37,4.91,5.18,3285.84,10395.06
33,2023-03-01,3963.3401,2023-04-03,4102.2002,65.3652,9076.62,0.035,33,5.18,5.36,2178.39,6887.69
34,2023-08-18,4344.8799,2023-11-15,4505.2998,61.7143,9900.21,0.0369,89,5.36,5.56,2376.05,7513.23
35,2024-04-18,5031.52,2024-05-10,5225.4902,55.2599,10718.78,0.0386,22,5.56,5.78,2572.51,8134.94
36,2024-08-06,5206.4199,2024-08-26,5639.6602,55.4624,24028.52,0.0832,20,5.78,6.26,5766.85,18249.65
37,2025-02-28,5856.7402,2025-05-08,5663.6001,53.4066,-10314.97,-0.033,69,6.26,6.05,0.0,-10327.27
38,2025-11-19,6625.8398,2025-12-11,6861.2998,45.6506,10748.9,0.0355,22,6.05,6.26,2579.74,8156.85
