trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-03-15,5462.5,2012-06-21,5097.3501,18.3066,-6684.67,-0.0668,98,123.6,116.92,0.0,-6925.18
2,2012-07-30,5129.75,2013-08-07,5549.2998,18.191,7632.03,0.0818,373,116.92,124.55,0.0,7390.57
3,2013-11-05,6282.1499,2015-06-16,8004.2002,16.0689,27671.49,0.2741,588,124.55,152.22,0.0,27394.72
4,2016-06-01,8179.2002,2017-01-02,8210.0996,15.7251,485.9,0.0038,215,152.22,152.7,72.88,108.09
5,2017-02-20,8818.5498,2018-11-19,10731.25,14.6401,28002.19,0.2169,637,152.7,180.71,0.0,27668.78
6,2019-03-18,11473.8496,2019-09-16,10994.8496,13.6926,-6558.76,-0.0417,182,180.71,174.15,0.0,-6913.62
7,2019-11-13,11908.2998,2020-03-20,8284.4502,12.6423,-45813.76,-0.3043,128,174.15,128.33,0.0,-46116.24
8,2020-08-24,11412.0,2022-04-19,17258.9492,9.1776,53660.78,0.5124,603,128.33,182.0,0.0,53350.45
9,2022-09-12,17890.8496,2023-04-11,17704.8008,8.8534,-1647.17,-0.0104,211,182.0,180.35,0.0,-2009.51
10,2023-06-02,18550.8496,2025-01-20,23290.4004,8.4496,40047.51,0.2555,598,180.35,220.4,0.0,39646.76
11,2025-06-05,24691.1992,2025-12-30,25938.8496,7.9703,9944.11,0.0505,208,220.4,230.34,0.0,9493.38
