trade_id,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,gross_return_pct,holding_period_days,entry_fee,exit_fee,tax_paid,net_pnl
1,2012-02-08,5890.2998,2012-06-19,5491.1001,16.9771,-6777.24,-0.0678,132,507.19,473.3,0.0,-7757.73
2,2012-08-20,5852.3999,2014-10-08,6495.6001,15.929,10245.52,0.1099,779,473.3,524.53,0.0,9247.69
3,2015-02-27,6949.7002,2015-08-03,6696.2998,14.8882,-3772.67,-0.0365,157,524.53,505.67,0.0,-4802.86
4,2016-05-09,6125.7002,2018-03-14,7138.7998,16.275,16488.17,0.1654,674,505.67,588.11,837.63,14556.76
5,2018-06-05,7741.2998,2018-10-11,7145.7002,15.0083,-8938.94,-0.0769,128,588.11,543.41,0.0,-10070.46
6,2019-04-12,7418.0,2019-10-11,7186.3999,14.4574,-3348.33,-0.0312,182,543.41,526.67,0.0,-4418.41
7,2019-12-30,7644.8999,2020-03-11,5960.2002,13.5903,-22895.58,-0.2204,72,526.67,412.19,0.0,-23834.45
8,2020-12-04,6490.2998,2022-07-11,7196.2002,12.4803,8809.85,0.1088,584,412.19,456.24,0.0,7941.42
9,2022-12-29,7497.2002,2023-07-20,7588.2002,11.9792,1090.11,0.0121,203,456.24,461.69,0.0,172.18
10,2024-01-29,7635.1001,2025-01-06,8224.0,11.9057,7011.24,0.0771,343,461.69,496.75,962.7,5090.1
11,2025-01-21,8520.5,2025-12-30,9940.7002,11.4914,16320.03,0.1667,343,496.75,578.35,3196.81,12048.13
