country,tax_regime_name,rate_type,rate_pct,holding_period_threshold_days,rate_short_pct,rate_long_pct,exemption_threshold_local_currency,effective_from,effective_to,source_url,source_type,confidence,notes
United States,US Resident CGT 2011-2017,holding_period_dependent,0.0,365,25.0,15.0,0,2011-01-01,2017-12-31,https://www.irs.gov/taxtopics/tc409,statute,primary_statutory_single_source,IRC s 1: Federal 25 pct middle bracket ordinary short-term vs 15 pct preferential long-term. State taxes excluded per convention due to major zero-tax states (TX/FL/WA/NV/TN).
United States,US Resident CGT TCJA 2018-2025,holding_period_dependent,0.0,365,24.0,15.0,0,2018-01-01,2025-12-31,https://www.irs.gov/taxtopics/tc409,statute,primary_statutory_single_source,IRC s 1 (TCJA): Federal 24 pct middle bracket ordinary short-term vs 15 pct preferential long-term. State taxes excluded per convention due to major zero-tax states (TX/FL/WA/NV/TN).
China,PRC Individual Stock Trading Exemption,flat,0.0,0,0.0,0.0,0,2011-01-01,2025-12-31,http://www.chinatax.gov.cn,statute,primary_statutory_single_source,Individual secondary market domestic equity trading exempt from IIT under Caishui [1998] No. 61 jo Caishui [1994] No. 20
Germany,Abgeltungsteuer + Soli 2011-2022,flat,26.375,0,0.0,0.0,801,2011-01-01,2022-12-31,https://www.bundesfinanzministerium.de,statute,primary_statutory_single_source,25 pct base + 5.5 pct solidarity surcharge; 801 EUR allowance
Germany,Abgeltungsteuer + Soli 2023-2025,flat,26.375,0,0.0,0.0,1000,2023-01-01,2025-12-31,https://www.bundesfinanzministerium.de,statute,primary_statutory_single_source,25 pct base + 5.5 pct solidarity; 1000 EUR allowance
Japan,Shotokuzei Preferential Rate 2011-2013,flat,10.147,0,0.0,0.0,0,2011-01-01,2013-12-31,https://www.nta.go.jp,statute,primary_statutory_single_source,Act on Special Measures Concerning Taxation s 37-10: 7 pct national + 0.147 pct reconstruction special tax + 3 pct local inhabitant tax
Japan,Shotokuzei + Local + Fukkou 2014-2025,flat,20.315,0,0.0,0.0,0,2014-01-01,2025-12-31,https://www.nta.go.jp,statute,primary_statutory_single_source,15 pct national + 5 pct local + 0.315 pct reconstruction special tax
India,STCG 15% / LTCG Exempt 2011-2018,holding_period_dependent,0.0,365,15.0,0.0,0,2011-01-01,2018-03-31,https://incometaxindia.gov.in,statute,primary_statutory_single_source,Section 111A STCG 15 pct; Section 10(38) LTCG exempt
India,STCG 15% / LTCG 10% 2018-2024,holding_period_dependent,0.0,365,15.0,10.0,100000,2018-04-01,2024-07-22,https://incometaxindia.gov.in,statute,primary_statutory_single_source,Section 112A introduced 10 pct LTCG above 1 lakh INR
India,Budget 2024 STCG 20% / LTCG 12.5%,holding_period_dependent,0.0,365,20.0,12.5,125000,2024-07-23,2025-12-31,https://incometaxindia.gov.in,statute,primary_statutory_single_source,Finance Act 2024: STCG 20 pct; LTCG 12.5 pct with 1.25L exemption
